,MTU (CET/CEST),Day-ahead Price (EUR/MWh),Date,Hour,Weekday,Week,Weekend
0,2025-01-01 00:00:00,118.46,2025-01-01,0,Wednesday,1,False
1,2025-01-01 01:00:00,129.07,2025-01-01,1,Wednesday,1,False
2,2025-01-01 02:00:00,121.1,2025-01-01,2,Wednesday,1,False
3,2025-01-01 03:00:00,94.28,2025-01-01,3,Wednesday,1,False
4,2025-01-01 04:00:00,63.69,2025-01-01,4,Wednesday,1,False
5,2025-01-01 05:00:00,102.26,2025-01-01,5,Wednesday,1,False
6,2025-01-01 06:00:00,99.93,2025-01-01,6,Wednesday,1,False
7,2025-01-01 07:00:00,93.56,2025-01-01,7,Wednesday,1,False
8,2025-01-01 08:00:00,43.13,2025-01-01,8,Wednesday,1,False
9,2025-01-01 09:00:00,47.8,2025-01-01,9,Wednesday,1,False
10,2025-01-01 10:00:00,38.5,2025-01-01,10,Wednesday,1,False
11,2025-01-01 11:00:00,39.82,2025-01-01,11,Wednesday,1,False
12,2025-01-01 12:00:00,40.25,2025-01-01,12,Wednesday,1,False
13,2025-01-01 13:00:00,42.59,2025-01-01,13,Wednesday,1,False
14,2025-01-01 14:00:00,60.75,2025-01-01,14,Wednesday,1,False
15,2025-01-01 15:00:00,80.8,2025-01-01,15,Wednesday,1,False
16,2025-01-01 16:00:00,100.01,2025-01-01,16,Wednesday,1,False
17,2025-01-01 17:00:00,109.62,2025-01-01,17,Wednesday,1,False
18,2025-01-01 18:00:00,118.92,2025-01-01,18,Wednesday,1,False
19,2025-01-01 19:00:00,123.5,2025-01-01,19,Wednesday,1,False
20,2025-01-01 20:00:00,123.08,2025-01-01,20,Wednesday,1,False
21,2025-01-01 21:00:00,113.59,2025-01-01,21,Wednesday,1,False
22,2025-01-01 22:00:00,124.62,2025-01-01,22,Wednesday,1,False
23,2025-01-01 23:00:00,90.99,2025-01-01,23,Wednesday,1,False
24,2025-01-02 00:00:00,68.35,2025-01-02,0,Thursday,1,False
