MTU (CET/CEST),Day-ahead Price (EUR/MWh),Date,Hour,Weekday,Week,Month,Weekend
2023-01-01 00:00:00,0.0,2023-01-01,0,Sunday,52,1,True
2023-01-01 01:00:00,-0.1,2023-01-01,1,Sunday,52,1,True
2023-01-01 02:00:00,-1.33,2023-01-01,2,Sunday,52,1,True
2023-01-01 03:00:00,-4.08,2023-01-01,3,Sunday,52,1,True
2023-01-01 04:00:00,-4.16,2023-01-01,4,Sunday,52,1,True
2023-01-01 05:00:00,-3.58,2023-01-01,5,Sunday,52,1,True
2023-01-01 06:00:00,-4.37,2023-01-01,6,Sunday,52,1,True
2023-01-01 07:00:00,-0.12,2023-01-01,7,Sunday,52,1,True
2023-01-01 08:00:00,-0.06,2023-01-01,8,Sunday,52,1,True
2023-01-01 09:00:00,0.0,2023-01-01,9,Sunday,52,1,True
2023-01-01 10:00:00,0.0,2023-01-01,10,Sunday,52,1,True
2023-01-01 11:00:00,0.0,2023-01-01,11,Sunday,52,1,True
2023-01-01 12:00:00,0.0,2023-01-01,12,Sunday,52,1,True
2023-01-01 13:00:00,0.1,2023-01-01,13,Sunday,52,1,True
2023-01-01 14:00:00,1.5,2023-01-01,14,Sunday,52,1,True
2023-01-01 15:00:00,23.5,2023-01-01,15,Sunday,52,1,True
2023-01-01 16:00:00,36.54,2023-01-01,16,Sunday,52,1,True
2023-01-01 17:00:00,46.03,2023-01-01,17,Sunday,52,1,True
2023-01-01 18:00:00,44.43,2023-01-01,18,Sunday,52,1,True
2023-01-01 19:00:00,54.95,2023-01-01,19,Sunday,52,1,True
2023-01-01 20:00:00,47.38,2023-01-01,20,Sunday,52,1,True
2023-01-01 21:00:00,40.24,2023-01-01,21,Sunday,52,1,True
2023-01-01 22:00:00,45.96,2023-01-01,22,Sunday,52,1,True
2023-01-01 23:00:00,35.0,2023-01-01,23,Sunday,52,1,True
2023-01-02 00:00:00,61.38,2023-01-02,0,Monday,1,1,False
2023-01-02 01:00:00,52.68,2023-01-02,1,Monday,1,1,False
2023-01-02 02:00:00,52.93,2023-01-02,2,Monday,1,1,False
2023-01-02 03:00:00,42.75,2023-01-02,3,Monday,1,1,False
2023-01-02 04:00:00,50.08,2023-01-02,4,Monday,1,1,False
2023-01-02 05:00:00,67.91,2023-01-02,5,Monday,1,1,False
2023-01-02 06:00:00,105.08,2023-01-02,6,Monday,1,1,False
2023-01-02 07:00:00,140.64,2023-01-02,7,Monday,1,1,False
