Time,Area,Total load,Net position,Price
2025-01-01 00:00:00,FR,64520.63,2506.6700000000055,12.36
2025-01-01 00:15:00,FR,63716.07,1722.3300000000017,12.36
2025-01-01 00:30:00,FR,62503.17,2064.470000000001,12.36
2025-01-01 00:45:00,FR,61490.91,2250.3699999999953,12.36
2025-01-01 01:00:00,FR,61780.02,2392.3300000000017,18.92
2025-01-01 01:15:00,FR,61542.76,2374.769999999997,18.92
2025-01-01 01:30:00,FR,61594.48,2313.5699999999997,18.92
2025-01-01 01:45:00,FR,61084.92,2577.970000000001,18.92
2025-01-01 02:00:00,FR,61409.19,2471.0,16.66
2025-01-01 02:15:00,FR,60750.84,2732.470000000001,16.66
2025-01-01 02:30:00,FR,60067.84,3011.590000000004,16.66
2025-01-01 02:45:00,FR,59267.35,3135.480000000003,16.66
2025-01-01 03:00:00,FR,58795.53,3167.479999999996,13.1
2025-01-01 03:15:00,FR,58179.02,3508.280000000006,13.1
2025-01-01 03:30:00,FR,57657.17,3479.4199999999983,13.1
2025-01-01 03:45:00,FR,56876.29,3772.0299999999916,13.1
2025-01-01 04:00:00,FR,56698.14,3747.1900000000023,5.9
2025-01-01 04:15:00,FR,56239.97,3691.8300000000017,5.9
2025-01-01 04:30:00,FR,55908.34,3833.3900000000067,5.9
2025-01-01 04:45:00,FR,55610.57,3905.1200000000026,5.9
2025-01-01 05:00:00,FR,56088.9,4026.5399999999936,9.27
2025-01-01 05:15:00,FR,55820.61,4467.75,9.27
2025-01-01 05:30:00,FR,55819.18,4272.560000000005,9.27
2025-01-01 05:45:00,FR,55712.84,4438.500000000007,9.27
2025-01-01 06:00:00,FR,56391.92,4491.950000000004,10.04
2025-01-01 06:15:00,FR,56439.86,4969.25,10.04
2025-01-01 06:30:00,FR,56568.7,4770.000000000007,10.04
2025-01-01 06:45:00,FR,56700.5,4708.279999999999,10.04
2025-01-01 07:00:00,FR,56883.97,4496.759999999995,7.23
2025-01-01 07:15:00,FR,57023.86,4258.669999999998,7.23
2025-01-01 07:30:00,FR,57005.2,4144.809999999998,7.23
2025-01-01 07:45:00,FR,57187.57,4278.709999999999,7.23
2025-01-01 08:00:00,FR,57114.11,5213.940000000002,12.83
2025-01-01 08:15:00,FR,57232.05,5721.889999999992,12.83
2025-01-01 08:30:00,FR,57312.93,6074.989999999998,12.83
2025-01-01 08:45:00,FR,57282.88,6628.790000000001,12.83
2025-01-01 09:00:00,FR,57232.74,7571.750000000007,13.76
2025-01-01 09:15:00,FR,57628.69,7702.779999999999,13.76
2025-01-01 09:30:00,FR,58054.73,7689.700000000004,13.76
2025-01-01 09:45:00,FR,58319.69,7853.5899999999965,13.76
2025-01-01 10:00:00,FR,58527.26,8264.060000000005,17.95
2025-01-01 10:15:00,FR,58801.58,8297.199999999997,17.95
2025-01-01 10:30:00,FR,59161.11,8517.169999999998,17.95
2025-01-01 10:45:00,FR,59352.27,8615.79,17.95
2025-01-01 11:00:00,FR,59768.98,9130.509999999987,20.59
2025-01-01 11:15:00,FR,60026.39,9583.900000000009,20.59
2025-01-01 11:30:00,FR,60188.27,10161.340000000004,20.59
2025-01-01 11:45:00,FR,60490.98,10441.929999999986,20.59
2025-01-01 12:00:00,FR,61068.51,11042.829999999994,28.11
2025-01-01 12:15:00,FR,60530.67,11444.950000000012,28.11
2025-01-01 12:30:00,FR,61575.22,11288.490000000005,28.11
2025-01-01 12:45:00,FR,61332.23,11503.359999999993,28.11
2025-01-01 13:00:00,FR,60866.5,12008.14,30.0
2025-01-01 13:15:00,FR,60021.73,12335.93,30.0
2025-01-01 13:30:00,FR,59330.08,12309.710000000006,30.0
2025-01-01 13:45:00,FR,58467.92,12824.180000000008,30.0
2025-01-01 14:00:00,FR,58085.09,13226.470000000001,21.5
2025-01-01 14:15:00,FR,57259.36,13969.080000000002,21.5
2025-01-01 14:30:00,FR,56733.42,13996.619999999995,21.5
2025-01-01 14:45:00,FR,56304.25,13985.26000000001,21.5
2025-01-01 15:00:00,FR,56335.25,12774.479999999996,10.68
2025-01-01 15:15:00,FR,55955.5,12945.679999999993,10.68
2025-01-01 15:30:00,FR,55498.9,13046.310000000005,10.68
2025-01-01 15:45:00,FR,55226.46,12773.409999999996,10.68
2025-01-01 16:00:00,FR,55272.36,11794.190000000002,20.18
2025-01-01 16:15:00,FR,55417.2,11690.740000000005,20.18
2025-01-01 16:30:00,FR,55700.3,11880.180000000008,20.18
2025-01-01 16:45:00,FR,56060.64,12491.229999999996,20.18
2025-01-01 17:00:00,FR,57009.54,12343.66000000001,35.72
2025-01-01 17:15:00,FR,58139.53,11830.330000000002,35.72
2025-01-01 17:30:00,FR,59307.89,11802.26999999999,35.72
2025-01-01 17:45:00,FR,60250.16,11379.570000000007,35.72
2025-01-01 18:00:00,FR,61025.37,11422.379999999997,48.06
2025-01-01 18:15:00,FR,61572.79,11403.58999999999,48.06
2025-01-01 18:30:00,FR,62174.69,11473.219999999987,48.06
2025-01-01 18:45:00,FR,62694.73,11428.859999999993,48.06
2025-01-01 19:00:00,FR,63154.74,10757.93,50.14
2025-01-01 19:15:00,FR,63189.47,10721.23999999999,50.14
2025-01-01 19:30:00,FR,62931.16,10610.160000000003,50.14
2025-01-01 19:45:00,FR,62520.25,10376.059999999998,50.14
2025-01-01 20:00:00,FR,62029.89,11295.270000000004,41.5
2025-01-01 20:15:00,FR,61366.98,11192.150000000001,41.5
2025-01-01 20:30:00,FR,60746.59,11433.12000000001,41.5
2025-01-01 20:45:00,FR,60157.16,11050.179999999993,41.5
2025-01-01 21:00:00,FR,59910.5,11507.119999999995,34.93
2025-01-01 21:15:00,FR,59323.59,11166.580000000002,34.93
2025-01-01 21:30:00,FR,58839.94,11411.11,34.93
2025-01-01 21:45:00,FR,58242.44,11374.779999999999,34.93
2025-01-01 22:00:00,FR,59416.87,9941.46,34.69
2025-01-01 22:15:00,FR,59297.61,9738.069999999992,34.69
2025-01-01 22:30:00,FR,60778.69,8577.089999999997,34.69
2025-01-01 22:45:00,FR,60496.12,8386.980000000003,34.69
2025-01-01 23:00:00,FR,60263.14,8140.740000000005,34.69
2025-01-01 23:15:00,FR,59388.67,8082.699999999997,34.69
2025-01-01 23:30:00,FR,59831.95,7660.759999999995,34.69
2025-01-01 23:45:00,FR,59136.57,7551.410000000011,34.69
2025-01-02 00:00:00,FR,63937.97,8749.459999999992,137.18
2025-01-02 00:15:00,FR,62991.27,9296.79,137.18
2025-01-02 00:30:00,FR,61599.46,9167.43,137.18
