Time,Biomass,Energy storage,Fossil Brown coal/Lignite,Fossil Coal-derived gas,Fossil Gas,Fossil Hard coal,Fossil Oil,Fossil Oil shale,Fossil Peat,Geothermal,Hydro Pumped Storage,Hydro Water Reservoir,Nuclear,Other,Waste,Renewable
2025-01-01 00:00:00,342.31,,,,2187.52,,109.46,,,,173.05,623.82,47980.33,,299.25,15311.559999999998
2025-01-01 00:15:00,341.56,,,,2044.34,,108.92,,,,200.36,750.49,46299.55,,303.02,15390.16
2025-01-01 00:30:00,362.69,,,,1948.46,,109.91,,,,188.02,758.65,45376.97,,299.08,15523.86
2025-01-01 00:45:00,361.64,,,,1832.28,,110.22,,,,110.84,690.04,44708.22,,299.84,15628.199999999999
2025-01-01 01:00:00,361.11,,,,1762.99,,110.03,,,,218.33,706.12,45073.34,,299.28,15641.15
2025-01-01 01:15:00,359.48,,,,1764.51,,110.77,,,,282.98,745.1,44557.19,,298.67,15798.829999999998
2025-01-01 01:30:00,360.69,,,,1798.7,,110.15,,,,248.88,746.93,44549.09,,297.38,15796.23
2025-01-01 01:45:00,360.1,,,,1705.47,,110.57,,,,246.28,750.71,44381.38,,296.13,15812.25
2025-01-01 02:00:00,358.73,,,,1607.14,,110.52,,,,69.39,721.57,44840.68,,296.29,15875.87
2025-01-01 02:15:00,358.6,,,,1653.29,,110.54,,,,56.42,735.75,44442.5,,295.04,15831.169999999998
2025-01-01 02:30:00,359.17,,,,1611.22,,110.82,,,,1.89,694.45,44190.25,,296.18,15815.449999999999
2025-01-01 02:45:00,362.72,,,,1610.33,,110.62,,,,0.36,620.89,43545.96,,294.04,15857.91
2025-01-01 03:00:00,361.42,,,,1608.79,,110.0,,,,6.04,246.67,43367.28,,291.8,15971.01
2025-01-01 03:15:00,359.27,,,,1601.96,,110.27,,,,1.32,207.44,43098.16,,294.93,16013.95
2025-01-01 03:30:00,356.7,,,,1621.12,,110.71,,,,0.24,204.31,42501.49,,293.89,16048.13
2025-01-01 03:45:00,357.92,,,,1660.15,,110.41,,,,0.1,208.31,41993.39,,297.16,16020.88
2025-01-01 04:00:00,357.75,,,,1632.05,,110.34,,,,0.24,212.8,41780.18,,296.81,16055.16
2025-01-01 04:15:00,359.17,,,,1636.95,,110.78,,,,0.18,207.33,41289.65,,296.38,16031.359999999999
2025-01-01 04:30:00,358.58,,,,1648.88,,110.58,,,,0.3,202.72,41103.86,,293.49,16023.32
2025-01-01 04:45:00,358.6,,,,1625.29,,110.88,,,,0.2,213.14,40884.55,,297.4,16025.63
2025-01-01 05:00:00,359.73,,,,1619.69,,110.79,,,,0.21,420.71,41198.13,,296.94,16109.239999999998
2025-01-01 05:15:00,361.74,,,,1631.1,,110.89,,,,0.25,426.12,41289.77,,295.14,16173.350000000002
2025-01-01 05:30:00,360.78,,,,1682.89,,110.88,,,,0.19,427.8,40962.89,,294.45,16251.859999999999
