Area,Sequence,Time,Price 2024
BZN|FR,Without Sequence,2024-01-01 00:00:00,47.246785714285714
BZN|FR,Without Sequence,2024-01-01 00:15:00,47.12706231454006
BZN|FR,Without Sequence,2024-01-01 00:30:00,47.00804733727811
BZN|FR,Without Sequence,2024-01-01 00:45:00,46.88973451327434
BZN|FR,Without Sequence,2024-01-01 01:00:00,46.77211764705883
BZN|FR,Without Sequence,2024-01-01 01:15:00,46.63504398826979
BZN|FR,Without Sequence,2024-01-01 01:30:00,46.498771929824564
BZN|FR,Without Sequence,2024-01-01 01:45:00,46.3632944606414
BZN|FR,Without Sequence,2024-01-01 02:00:00,46.22860465116279
BZN|FR,Without Sequence,2024-01-01 02:15:00,46.09457971014493
BZN|FR,Without Sequence,2024-01-01 02:30:00,45.961329479768786
BZN|FR,Without Sequence,2024-01-01 02:45:00,45.82884726224784
BZN|FR,Without Sequence,2024-01-01 03:00:00,45.69712643678161
BZN|FR,Without Sequence,2024-01-01 03:15:00,45.56616045845272
BZN|FR,Without Sequence,2024-01-01 03:30:00,45.435942857142855
BZN|FR,Without Sequence,2024-01-01 03:45:00,45.306467236467235
BZN|FR,Without Sequence,2024-01-01 04:00:00,45.177727272727275
BZN|FR,Without Sequence,2024-01-01 04:15:00,45.04971671388102
BZN|FR,Without Sequence,2024-01-01 04:30:00,44.92242937853107
BZN|FR,Without Sequence,2024-01-01 04:45:00,44.79585915492958
BZN|FR,Without Sequence,2024-01-01 05:00:00,44.67
BZN|FR,Without Sequence,2024-01-01 05:15:00,44.561120448179274
BZN|FR,Without Sequence,2024-01-01 05:30:00,44.45284916201118
BZN|FR,Without Sequence,2024-01-01 05:45:00,44.345181058495825
BZN|FR,Without Sequence,2024-01-01 06:00:00,44.23811111111111
BZN|FR,Without Sequence,2024-01-01 06:15:00,44.15695290858726
BZN|FR,Without Sequence,2024-01-01 06:30:00,44.076243093922656
BZN|FR,Without Sequence,2024-01-01 06:45:00,43.9959779614325
BZN|FR,Without Sequence,2024-01-01 07:00:00,43.91615384615385
