,Time,Line,RAM,utilization,congested,Spread FR-BE,Spread FR-DE,Spread FR-NL,From,To,Flow_normalized,export_constrained,import_constrained
264,2025-01-01 11:00:00,Achene - Lonny 380.19 ,1531,0.7636871562377524,False,0.0,20.69,-16.900000000000002,FR,BE,1169.2050361999989,False,False
273,2025-01-01 11:15:00,Achene - Lonny 380.19 ,1531,0.8079651220770745,False,0.0,20.69,-16.900000000000002,FR,BE,1236.994601900001,False,False
282,2025-01-01 11:30:00,Achene - Lonny 380.19 ,1531,0.8547684427824953,False,0.0,20.69,-16.900000000000002,FR,BE,1308.6504859000004,False,False
291,2025-01-01 11:45:00,Achene - Lonny 380.19 ,1531,0.8798771888308287,False,0.0,20.69,-16.900000000000002,FR,BE,1347.0919760999986,False,False
1544,2025-01-04 15:00:00,Ensdorf - Vigy VIGY2 S ,722,4.063076483518006,True,0.0,-26.77,2.93,FR,DE,2933.5412211000003,True,False
1549,2025-01-04 15:15:00,Ensdorf - Vigy VIGY2 S ,722,4.309679759002773,True,0.0,-26.77,2.93,FR,DE,3111.588786000002,True,False
1554,2025-01-04 15:30:00,Ensdorf - Vigy VIGY2 S ,722,4.414835030470914,True,0.0,-26.77,2.93,FR,DE,3187.510892,True,False
1559,2025-01-04 15:45:00,Ensdorf - Vigy VIGY2 S ,722,4.427845644875345,True,0.0,-26.77,2.93,FR,DE,3196.9045555999987,True,False
1564,2025-01-04 16:00:00,Ensdorf - Vigy VIGY2 S ,690,4.4803382185507274,True,-36.5,-65.24000000000001,-41.11,FR,DE,3091.4333708000017,True,False
1567,2025-01-04 16:15:00,Ensdorf - Vigy VIGY2 S ,690,4.603933949275363,True,-36.5,-65.24000000000001,-41.11,FR,DE,3176.7144250000006,True,False
1570,2025-01-04 16:30:00,Ensdorf - Vigy VIGY2 S ,690,4.647563006666668,True,-36.5,-65.24000000000001,-41.11,FR,DE,3206.8184746000006,True,False
1573,2025-01-04 16:45:00,Ensdorf - Vigy VIGY2 S ,690,4.704096147101451,True,-36.5,-65.24000000000001,-41.11,FR,DE,3245.826341500001,True,False
1576,2025-01-04 17:00:00,Ensdorf - Vigy VIGY2 S ,737,4.023929329579378,True,-61.82,-82.81,-68.68,FR,DE,2965.6359159000017,True,False
1578,2025-01-04 17:15:00,Ensdorf - Vigy VIGY2 S ,737,4.029248074898234,True,-61.82,-82.81,-68.68,FR,DE,2969.5558311999985,True,False
1580,2025-01-04 17:30:00,Ensdorf - Vigy VIGY2 S ,737,3.8675843478968783,True,-61.82,-82.81,-68.68,FR,DE,2850.4096643999997,True,False
1582,2025-01-04 17:45:00,Ensdorf - Vigy VIGY2 S ,737,3.6959013656716406,True,-61.82,-82.81,-68.68,FR,DE,2723.879306499999,True,False
1624,2025-01-04 23:00:00,Ensdorf - Vigy VIGY2 S ,1058,2.4315413547258973,True,-15.329999999999998,-19.909999999999997,-16.939999999999998,FR,DE,2572.5707532999995,True,False
1626,2025-01-04 23:15:00,Ensdorf - Vigy VIGY2 S ,1058,2.515750013137995,True,-15.329999999999998,-19.909999999999997,-16.939999999999998,FR,DE,2661.663513899998,True,False
1628,2025-01-04 23:30:00,Ensdorf - Vigy VIGY2 S ,1058,2.412892199905482,True,-15.329999999999998,-19.909999999999997,-16.939999999999998,FR,DE,2552.839947500001,True,False
1630,2025-01-04 23:45:00,Ensdorf - Vigy VIGY2 S ,1058,2.5519051292060504,True,-15.329999999999998,-19.909999999999997,-16.939999999999998,FR,DE,2699.915626700001,True,False
1632,2025-01-05 00:00:00,Ensdorf - Vigy VIGY2 S ,1134,1.614225553791887,True,-62.06,-68.31,-63.75,FR,DE,1830.531778,True,False
1636,2025-01-05 00:15:00,Ensdorf - Vigy VIGY2 S ,1134,1.654479428130511,True,-62.06,-68.31,-63.75,FR,DE,1876.1796714999996,True,False
1640,2025-01-05 00:30:00,Ensdorf - Vigy VIGY2 S ,1134,1.7864457460317462,True,-62.06,-68.31,-63.75,FR,DE,2025.829476,True,False
1644,2025-01-05 00:45:00,Ensdorf - Vigy VIGY2 S ,1134,1.907332016754849,True,-62.06,-68.31,-63.75,FR,DE,2162.914506999999,True,False
1648,2025-01-05 01:00:00,Ensdorf - Vigy VIGY2 S ,1117,2.0002504402864822,True,-63.43000000000001,-69.12,-64.79,FR,DE,2234.2797418000005,True,False
1651,2025-01-05 01:15:00,Ensdorf - Vigy VIGY2 S ,1117,2.011062175738586,True,-63.43000000000001,-69.12,-64.79,FR,DE,2246.3564503,True,False
1654,2025-01-05 01:30:00,Ensdorf - Vigy VIGY2 S ,1117,2.0148746775290953,True,-63.43000000000001,-69.12,-64.79,FR,DE,2250.6150147999997,True,False
1657,2025-01-05 01:45:00,Ensdorf - Vigy VIGY2 S ,1117,2.0731406712623106,True,-63.43000000000001,-69.12,-64.79,FR,DE,2315.698129800001,True,False
1660,2025-01-05 02:00:00,Ensdorf - Vigy VIGY2 S ,1158,1.967046402504319,True,-61.64,-67.86999999999999,-63.34,FR,DE,2277.839734100002,True,False
1663,2025-01-05 02:15:00,Ensdorf - Vigy VIGY2 S ,1158,1.959141752158894,True,-61.64,-67.86999999999999,-63.34,FR,DE,2268.686148999999,True,False
1666,2025-01-05 02:30:00,Ensdorf - Vigy VIGY2 S ,1158,1.940472895250432,True,-61.64,-67.86999999999999,-63.34,FR,DE,2247.0676127000006,True,False
1669,2025-01-05 02:45:00,Ensdorf - Vigy VIGY2 S ,1158,2.01275207642487,True,-61.64,-67.86999999999999,-63.34,FR,DE,2330.7669044999993,True,False
1672,2025-01-05 03:00:00,Ensdorf - Vigy VIGY2 S ,1138,1.924700915026362,True,-62.349999999999994,-67.41,-63.42,FR,DE,2190.3096413,True,False
1675,2025-01-05 03:15:00,Ensdorf - Vigy VIGY2 S ,1138,1.877215671792619,True,-62.349999999999994,-67.41,-63.42,FR,DE,2136.2714345000004,True,False
