,Time,Area,Generation
0,2024-01-01 00:00:00,BZN|FR,64309.0
1,2024-01-01 01:00:00,BZN|FR,60784.0
2,2024-01-01 02:00:00,BZN|FR,60033.0
3,2024-01-01 03:00:00,BZN|FR,58572.0
4,2024-01-01 04:00:00,BZN|FR,53576.0
5,2024-01-01 05:00:00,BZN|FR,52613.0
6,2024-01-01 06:00:00,BZN|FR,52170.0
7,2024-01-01 07:00:00,BZN|FR,52263.0
8,2024-01-01 08:00:00,BZN|FR,52525.0
9,2024-01-01 09:00:00,BZN|FR,54383.0
10,2024-01-01 10:00:00,BZN|FR,55695.0
11,2024-01-01 11:00:00,BZN|FR,57787.0
12,2024-01-01 12:00:00,BZN|FR,59005.0
13,2024-01-01 13:00:00,BZN|FR,60160.0
14,2024-01-01 14:00:00,BZN|FR,59911.0
15,2024-01-01 15:00:00,BZN|FR,59281.0
16,2024-01-01 16:00:00,BZN|FR,59242.0
17,2024-01-01 17:00:00,BZN|FR,62386.0
18,2024-01-01 18:00:00,BZN|FR,66416.0
19,2024-01-01 19:00:00,BZN|FR,69515.0
20,2024-01-01 20:00:00,BZN|FR,70832.0
21,2024-01-01 21:00:00,BZN|FR,70428.0
22,2024-01-01 22:00:00,BZN|FR,68717.0
23,2024-01-01 23:00:00,BZN|FR,69078.0
24,2024-01-02 00:00:00,BZN|FR,65791.0
25,2024-01-02 01:00:00,BZN|FR,65792.0
26,2024-01-02 02:00:00,BZN|FR,64714.0
27,2024-01-02 03:00:00,BZN|FR,65025.0
28,2024-01-02 04:00:00,BZN|FR,64870.0
29,2024-01-02 05:00:00,BZN|FR,64331.0
30,2024-01-02 06:00:00,BZN|FR,64607.0
31,2024-01-02 07:00:00,BZN|FR,65823.0
32,2024-01-02 08:00:00,BZN|FR,69491.0
33,2024-01-02 09:00:00,BZN|FR,71498.0
34,2024-01-02 10:00:00,BZN|FR,71733.0
35,2024-01-02 11:00:00,BZN|FR,70810.0
36,2024-01-02 12:00:00,BZN|FR,69311.0
37,2024-01-02 13:00:00,BZN|FR,68261.0
38,2024-01-02 14:00:00,BZN|FR,67210.0
39,2024-01-02 15:00:00,BZN|FR,66929.0
40,2024-01-02 16:00:00,BZN|FR,67814.0
41,2024-01-02 17:00:00,BZN|FR,68002.0
42,2024-01-02 18:00:00,BZN|FR,69197.0
43,2024-01-02 19:00:00,BZN|FR,70810.0
44,2024-01-02 20:00:00,BZN|FR,72514.0
45,2024-01-02 21:00:00,BZN|FR,70984.0
46,2024-01-02 22:00:00,BZN|FR,68071.0
47,2024-01-02 23:00:00,BZN|FR,65551.0
48,2024-01-03 00:00:00,BZN|FR,65646.0
49,2024-01-03 01:00:00,BZN|FR,64065.0
50,2024-01-03 02:00:00,BZN|FR,63139.0
51,2024-01-03 03:00:00,BZN|FR,63513.0
52,2024-01-03 04:00:00,BZN|FR,64146.0
53,2024-01-03 05:00:00,BZN|FR,63976.0
54,2024-01-03 06:00:00,BZN|FR,65871.0
55,2024-01-03 07:00:00,BZN|FR,69023.0
56,2024-01-03 08:00:00,BZN|FR,72439.0
57,2024-01-03 09:00:00,BZN|FR,73537.0
58,2024-01-03 10:00:00,BZN|FR,75145.0
59,2024-01-03 11:00:00,BZN|FR,76573.0
60,2024-01-03 12:00:00,BZN|FR,76900.0
61,2024-01-03 13:00:00,BZN|FR,76661.0
62,2024-01-03 14:00:00,BZN|FR,74812.0
63,2024-01-03 15:00:00,BZN|FR,73377.0
64,2024-01-03 16:00:00,BZN|FR,71286.0
65,2024-01-03 17:00:00,BZN|FR,69033.0
66,2024-01-03 18:00:00,BZN|FR,68272.0
67,2024-01-03 19:00:00,BZN|FR,70494.0
68,2024-01-03 20:00:00,BZN|FR,73169.0
69,2024-01-03 21:00:00,BZN|FR,73742.0
70,2024-01-03 22:00:00,BZN|FR,70772.0
71,2024-01-03 23:00:00,BZN|FR,69763.0
72,2024-01-04 00:00:00,BZN|FR,59504.0
73,2024-01-04 01:00:00,BZN|FR,57278.0
74,2024-01-04 02:00:00,BZN|FR,55186.0
75,2024-01-04 03:00:00,BZN|FR,53839.0
76,2024-01-04 04:00:00,BZN|FR,52692.0
77,2024-01-04 05:00:00,BZN|FR,51586.0
78,2024-01-04 06:00:00,BZN|FR,52288.0
79,2024-01-04 07:00:00,BZN|FR,53447.0
80,2024-01-04 08:00:00,BZN|FR,54037.0
81,2024-01-04 09:00:00,BZN|FR,55960.0
82,2024-01-04 10:00:00,BZN|FR,58487.0
83,2024-01-04 11:00:00,BZN|FR,60394.0
84,2024-01-04 12:00:00,BZN|FR,61015.0
85,2024-01-04 13:00:00,BZN|FR,61806.0
86,2024-01-04 14:00:00,BZN|FR,57601.0
87,2024-01-04 15:00:00,BZN|FR,54159.0
88,2024-01-04 16:00:00,BZN|FR,52941.0
89,2024-01-04 17:00:00,BZN|FR,51829.0
90,2024-01-04 18:00:00,BZN|FR,56472.0
91,2024-01-04 19:00:00,BZN|FR,58043.0
92,2024-01-04 20:00:00,BZN|FR,61182.0
93,2024-01-04 21:00:00,BZN|FR,63454.0
94,2024-01-04 22:00:00,BZN|FR,62271.0
95,2024-01-04 23:00:00,BZN|FR,61742.0
96,2024-01-05 00:00:00,BZN|FR,52381.0
97,2024-01-05 01:00:00,BZN|FR,50738.0
98,2024-01-05 02:00:00,BZN|FR,49488.0
99,2024-01-05 03:00:00,BZN|FR,48500.0
100,2024-01-05 04:00:00,BZN|FR,47152.0
101,2024-01-05 05:00:00,BZN|FR,46925.0
102,2024-01-05 06:00:00,BZN|FR,47346.0
103,2024-01-05 07:00:00,BZN|FR,47951.0
104,2024-01-05 08:00:00,BZN|FR,46995.0
105,2024-01-05 09:00:00,BZN|FR,45759.0
106,2024-01-05 10:00:00,BZN|FR,43067.0
107,2024-01-05 11:00:00,BZN|FR,42760.0
108,2024-01-05 12:00:00,BZN|FR,43341.0
109,2024-01-05 13:00:00,BZN|FR,43280.0
110,2024-01-05 14:00:00,BZN|FR,42017.0
111,2024-01-05 15:00:00,BZN|FR,41724.0
112,2024-01-05 16:00:00,BZN|FR,41988.0
113,2024-01-05 17:00:00,BZN|FR,44363.0
114,2024-01-05 18:00:00,BZN|FR,49710.0
115,2024-01-05 19:00:00,BZN|FR,52615.0
116,2024-01-05 20:00:00,BZN|FR,52390.0
117,2024-01-05 21:00:00,BZN|FR,54317.0
118,2024-01-05 22:00:00,BZN|FR,53951.0
119,2024-01-05 23:00:00,BZN|FR,53106.0
120,2024-01-06 00:00:00,BZN|FR,52741.0
121,2024-01-06 01:00:00,BZN|FR,49930.0
122,2024-01-06 02:00:00,BZN|FR,49424.0
123,2024-01-06 03:00:00,BZN|FR,48367.0
124,2024-01-06 04:00:00,BZN|FR,47630.0
125,2024-01-06 05:00:00,BZN|FR,46717.0
126,2024-01-06 06:00:00,BZN|FR,47278.0
127,2024-01-06 07:00:00,BZN|FR,48307.0
128,2024-01-06 08:00:00,BZN|FR,50113.0
129,2024-01-06 09:00:00,BZN|FR,52143.0
130,2024-01-06 10:00:00,BZN|FR,50083.0
131,2024-01-06 11:00:00,BZN|FR,50842.0
132,2024-01-06 12:00:00,BZN|FR,52689.0
133,2024-01-06 13:00:00,BZN|FR,50123.0
134,2024-01-06 14:00:00,BZN|FR,49718.0
135,2024-01-06 15:00:00,BZN|FR,49473.0
136,2024-01-06 16:00:00,BZN|FR,48972.0
137,2024-01-06 17:00:00,BZN|FR,48916.0
138,2024-01-06 18:00:00,BZN|FR,51195.0
139,2024-01-06 19:00:00,BZN|FR,51577.0
140,2024-01-06 20:00:00,BZN|FR,51676.0
141,2024-01-06 21:00:00,BZN|FR,51367.0
142,2024-01-06 22:00:00,BZN|FR,52433.0
143,2024-01-06 23:00:00,BZN|FR,51933.0
144,2024-01-07 00:00:00,BZN|FR,52000.0
145,2024-01-07 01:00:00,BZN|FR,51548.0
146,2024-01-07 02:00:00,BZN|FR,50593.0
147,2024-01-07 03:00:00,BZN|FR,49136.0
148,2024-01-07 04:00:00,BZN|FR,48800.0
149,2024-01-07 05:00:00,BZN|FR,50184.0
150,2024-01-07 06:00:00,BZN|FR,51531.0
151,2024-01-07 07:00:00,BZN|FR,51958.0
152,2024-01-07 08:00:00,BZN|FR,53847.0
153,2024-01-07 09:00:00,BZN|FR,54800.0
154,2024-01-07 10:00:00,BZN|FR,56657.0
155,2024-01-07 11:00:00,BZN|FR,57290.0
156,2024-01-07 12:00:00,BZN|FR,58525.0
157,2024-01-07 13:00:00,BZN|FR,58823.0
158,2024-01-07 14:00:00,BZN|FR,58499.0
159,2024-01-07 15:00:00,BZN|FR,57726.0
160,2024-01-07 16:00:00,BZN|FR,57668.0
161,2024-01-07 17:00:00,BZN|FR,56722.0
162,2024-01-07 18:00:00,BZN|FR,56460.0
163,2024-01-07 19:00:00,BZN|FR,55947.0
164,2024-01-07 20:00:00,BZN|FR,55083.0
165,2024-01-07 21:00:00,BZN|FR,54607.0
166,2024-01-07 22:00:00,BZN|FR,54547.0
167,2024-01-07 23:00:00,BZN|FR,54328.0
168,2024-01-08 00:00:00,BZN|FR,54457.0
169,2024-01-08 01:00:00,BZN|FR,52038.0
170,2024-01-08 02:00:00,BZN|FR,50613.0
171,2024-01-08 03:00:00,BZN|FR,50048.0
172,2024-01-08 04:00:00,BZN|FR,49677.0
173,2024-01-08 05:00:00,BZN|FR,49726.0
174,2024-01-08 06:00:00,BZN|FR,50533.0
175,2024-01-08 07:00:00,BZN|FR,54467.0
176,2024-01-08 08:00:00,BZN|FR,56629.0
177,2024-01-08 09:00:00,BZN|FR,58261.0
178,2024-01-08 10:00:00,BZN|FR,59495.0
179,2024-01-08 11:00:00,BZN|FR,61294.0
180,2024-01-08 12:00:00,BZN|FR,61865.0
181,2024-01-08 13:00:00,BZN|FR,61452.0
182,2024-01-08 14:00:00,BZN|FR,62348.0
183,2024-01-08 15:00:00,BZN|FR,62330.0
184,2024-01-08 16:00:00,BZN|FR,61301.0
185,2024-01-08 17:00:00,BZN|FR,60675.0
186,2024-01-08 18:00:00,BZN|FR,60407.0
187,2024-01-08 19:00:00,BZN|FR,59707.0
188,2024-01-08 20:00:00,BZN|FR,58529.0
189,2024-01-08 21:00:00,BZN|FR,57504.0
190,2024-01-08 22:00:00,BZN|FR,57018.0
191,2024-01-08 23:00:00,BZN|FR,56200.0
192,2024-01-09 00:00:00,BZN|FR,48497.0
193,2024-01-09 01:00:00,BZN|FR,47439.0
194,2024-01-09 02:00:00,BZN|FR,46760.0
195,2024-01-09 03:00:00,BZN|FR,45980.0
196,2024-01-09 04:00:00,BZN|FR,45679.0
197,2024-01-09 05:00:00,BZN|FR,45530.0
198,2024-01-09 06:00:00,BZN|FR,45682.0
199,2024-01-09 07:00:00,BZN|FR,46489.0
200,2024-01-09 08:00:00,BZN|FR,47524.0
