,Time,Area,Generation
0,2024-01-01 00:00:00,BZN|NL,11010.12
1,2024-01-01 00:15:00,BZN|NL,11151.380000000001
2,2024-01-01 00:30:00,BZN|NL,11125.609999999999
3,2024-01-01 00:45:00,BZN|NL,11066.16
4,2024-01-01 01:00:00,BZN|NL,11143.33
5,2024-01-01 01:15:00,BZN|NL,11163.41
6,2024-01-01 01:30:00,BZN|NL,11067.78
7,2024-01-01 01:45:00,BZN|NL,11027.02
8,2024-01-01 02:00:00,BZN|NL,10717.31
9,2024-01-01 02:15:00,BZN|NL,10739.72
10,2024-01-01 02:30:00,BZN|NL,10590.460000000001
11,2024-01-01 02:45:00,BZN|NL,10481.210000000001
12,2024-01-01 03:00:00,BZN|NL,10490.89
13,2024-01-01 03:15:00,BZN|NL,10440.3
14,2024-01-01 03:30:00,BZN|NL,10408.27
15,2024-01-01 03:45:00,BZN|NL,10401.119999999999
16,2024-01-01 04:00:00,BZN|NL,10372.18
17,2024-01-01 04:15:00,BZN|NL,10416.24
18,2024-01-01 04:30:00,BZN|NL,10334.79
19,2024-01-01 04:45:00,BZN|NL,10334.039999999999
20,2024-01-01 05:00:00,BZN|NL,10379.11
21,2024-01-01 05:15:00,BZN|NL,10238.99
22,2024-01-01 05:30:00,BZN|NL,10263.33
23,2024-01-01 05:45:00,BZN|NL,10215.099999999999
24,2024-01-01 06:00:00,BZN|NL,10113.099999999999
25,2024-01-01 06:15:00,BZN|NL,10032.6
26,2024-01-01 06:30:00,BZN|NL,9958.71
27,2024-01-01 06:45:00,BZN|NL,10030.029999999999
28,2024-01-01 07:00:00,BZN|NL,10039.33
29,2024-01-01 07:15:00,BZN|NL,10027.98
30,2024-01-01 07:30:00,BZN|NL,9997.35
31,2024-01-01 07:45:00,BZN|NL,10122.45
32,2024-01-01 08:00:00,BZN|NL,10204.0
33,2024-01-01 08:15:00,BZN|NL,10019.78
34,2024-01-01 08:30:00,BZN|NL,10002.59
35,2024-01-01 08:45:00,BZN|NL,10080.9
36,2024-01-01 09:00:00,BZN|NL,10175.07
37,2024-01-01 09:15:00,BZN|NL,10310.3
38,2024-01-01 09:30:00,BZN|NL,10368.55
39,2024-01-01 09:45:00,BZN|NL,10501.11
40,2024-01-01 10:00:00,BZN|NL,10695.77
