,MTU (CET/CEST),Area,Actual Total Load (MW)
0,2025-01-01 00:00:00,BZN|BE,8233.79
1,2025-01-01 00:15:00,BZN|BE,8126.86
2,2025-01-01 00:30:00,BZN|BE,8057.3
3,2025-01-01 00:45:00,BZN|BE,7962.76
4,2025-01-01 01:00:00,BZN|BE,7885.99
5,2025-01-01 01:15:00,BZN|BE,7749.48
6,2025-01-01 01:30:00,BZN|BE,7728.77
7,2025-01-01 01:45:00,BZN|BE,7622.87
8,2025-01-01 02:00:00,BZN|BE,7495.71
9,2025-01-01 02:15:00,BZN|BE,7542.84
10,2025-01-01 02:30:00,BZN|BE,7470.17
11,2025-01-01 02:45:00,BZN|BE,7398.85
12,2025-01-01 03:00:00,BZN|BE,7273.0
13,2025-01-01 03:15:00,BZN|BE,7248.33
14,2025-01-01 03:30:00,BZN|BE,7228.25
15,2025-01-01 03:45:00,BZN|BE,7161.36
16,2025-01-01 04:00:00,BZN|BE,7146.35
17,2025-01-01 04:15:00,BZN|BE,7158.75
18,2025-01-01 04:30:00,BZN|BE,7176.65
19,2025-01-01 04:45:00,BZN|BE,7175.53
20,2025-01-01 05:00:00,BZN|BE,7207.76
21,2025-01-01 05:15:00,BZN|BE,7171.3
22,2025-01-01 05:30:00,BZN|BE,7160.44
23,2025-01-01 05:45:00,BZN|BE,7168.69
24,2025-01-01 06:00:00,BZN|BE,7293.77
25,2025-01-01 06:15:00,BZN|BE,7303.39
26,2025-01-01 06:30:00,BZN|BE,7344.97
27,2025-01-01 06:45:00,BZN|BE,7364.7
28,2025-01-01 07:00:00,BZN|BE,7388.92
29,2025-01-01 07:15:00,BZN|BE,7420.39
30,2025-01-01 07:30:00,BZN|BE,7439.71
31,2025-01-01 07:45:00,BZN|BE,7433.16
32,2025-01-01 08:00:00,BZN|BE,7493.33
33,2025-01-01 08:15:00,BZN|BE,7528.85
34,2025-01-01 08:30:00,BZN|BE,7528.09
35,2025-01-01 08:45:00,BZN|BE,7559.41
36,2025-01-01 09:00:00,BZN|BE,7645.04
37,2025-01-01 09:15:00,BZN|BE,7709.77
38,2025-01-01 09:30:00,BZN|BE,7803.85
39,2025-01-01 09:45:00,BZN|BE,7900.02
40,2025-01-01 10:00:00,BZN|BE,8122.48
41,2025-01-01 10:15:00,BZN|BE,8204.66
42,2025-01-01 10:30:00,BZN|BE,8290.14
43,2025-01-01 10:45:00,BZN|BE,8392.06
44,2025-01-01 11:00:00,BZN|BE,8523.61
45,2025-01-01 11:15:00,BZN|BE,8537.28
46,2025-01-01 11:30:00,BZN|BE,8638.47
47,2025-01-01 11:45:00,BZN|BE,8708.33
48,2025-01-01 12:00:00,BZN|BE,8813.13
49,2025-01-01 12:15:00,BZN|BE,8835.3
50,2025-01-01 12:30:00,BZN|BE,8830.97
51,2025-01-01 12:45:00,BZN|BE,8816.57
52,2025-01-01 13:00:00,BZN|BE,8800.28
53,2025-01-01 13:15:00,BZN|BE,8777.22
54,2025-01-01 13:30:00,BZN|BE,8785.46
55,2025-01-01 13:45:00,BZN|BE,8780.5
56,2025-01-01 14:00:00,BZN|BE,8763.76
57,2025-01-01 14:15:00,BZN|BE,8715.02
58,2025-01-01 14:30:00,BZN|BE,8683.15
59,2025-01-01 14:45:00,BZN|BE,8663.67
60,2025-01-01 15:00:00,BZN|BE,8757.19
61,2025-01-01 15:15:00,BZN|BE,8728.23
62,2025-01-01 15:30:00,BZN|BE,8672.34
63,2025-01-01 15:45:00,BZN|BE,8632.84
64,2025-01-01 16:00:00,BZN|BE,8763.61
65,2025-01-01 16:15:00,BZN|BE,8802.02
66,2025-01-01 16:30:00,BZN|BE,8844.02
67,2025-01-01 16:45:00,BZN|BE,8949.85
68,2025-01-01 17:00:00,BZN|BE,9110.4
69,2025-01-01 17:15:00,BZN|BE,9139.76
70,2025-01-01 17:30:00,BZN|BE,9203.64
71,2025-01-01 17:45:00,BZN|BE,9294.63
72,2025-01-01 18:00:00,BZN|BE,9286.63
73,2025-01-01 18:15:00,BZN|BE,9219.69
74,2025-01-01 18:30:00,BZN|BE,9255.13
75,2025-01-01 18:45:00,BZN|BE,9249.46
76,2025-01-01 19:00:00,BZN|BE,9119.33
77,2025-01-01 19:15:00,BZN|BE,9011.27
78,2025-01-01 19:30:00,BZN|BE,8967.64
79,2025-01-01 19:45:00,BZN|BE,8926.84
80,2025-01-01 20:00:00,BZN|BE,8961.57
