,MTU (CET/CEST),Area,Actual Total Load (MW)
0,2025-01-01 00:00:00,BZN|DE-LU,48899.61
1,2025-01-01 00:15:00,BZN|DE-LU,48018.91
2,2025-01-01 00:30:00,BZN|DE-LU,48048.26
3,2025-01-01 00:45:00,BZN|DE-LU,47918.9
4,2025-01-01 01:00:00,BZN|DE-LU,47667.03
5,2025-01-01 01:15:00,BZN|DE-LU,47390.29
6,2025-01-01 01:30:00,BZN|DE-LU,47275.44
7,2025-01-01 01:45:00,BZN|DE-LU,46980.15
8,2025-01-01 02:00:00,BZN|DE-LU,46687.66
9,2025-01-01 02:15:00,BZN|DE-LU,46309.86
10,2025-01-01 02:30:00,BZN|DE-LU,46082.62
11,2025-01-01 02:45:00,BZN|DE-LU,45894.49
12,2025-01-01 03:00:00,BZN|DE-LU,45329.16
13,2025-01-01 03:15:00,BZN|DE-LU,45311.03
14,2025-01-01 03:30:00,BZN|DE-LU,44817.7
15,2025-01-01 03:45:00,BZN|DE-LU,44749.26
16,2025-01-01 04:00:00,BZN|DE-LU,44161.59
17,2025-01-01 04:15:00,BZN|DE-LU,44235.59
18,2025-01-01 04:30:00,BZN|DE-LU,44005.44
19,2025-01-01 04:45:00,BZN|DE-LU,43788.21
20,2025-01-01 05:00:00,BZN|DE-LU,44416.46
21,2025-01-01 05:15:00,BZN|DE-LU,44258.82
22,2025-01-01 05:30:00,BZN|DE-LU,44218.8
23,2025-01-01 05:45:00,BZN|DE-LU,44149.71
24,2025-01-01 06:00:00,BZN|DE-LU,43836.8
25,2025-01-01 06:15:00,BZN|DE-LU,43598.88
26,2025-01-01 06:30:00,BZN|DE-LU,43578.38
27,2025-01-01 06:45:00,BZN|DE-LU,43415.44
28,2025-01-01 07:00:00,BZN|DE-LU,43645.45
29,2025-01-01 07:15:00,BZN|DE-LU,43945.55
30,2025-01-01 07:30:00,BZN|DE-LU,44073.66
31,2025-01-01 07:45:00,BZN|DE-LU,44225.36
32,2025-01-01 08:00:00,BZN|DE-LU,45529.98
33,2025-01-01 08:15:00,BZN|DE-LU,46027.12
34,2025-01-01 08:30:00,BZN|DE-LU,46244.98
35,2025-01-01 08:45:00,BZN|DE-LU,46647.24
36,2025-01-01 09:00:00,BZN|DE-LU,47350.81
37,2025-01-01 09:15:00,BZN|DE-LU,47799.15
38,2025-01-01 09:30:00,BZN|DE-LU,48307.22
39,2025-01-01 09:45:00,BZN|DE-LU,49104.5
40,2025-01-01 10:00:00,BZN|DE-LU,49838.42
41,2025-01-01 10:15:00,BZN|DE-LU,50394.77
42,2025-01-01 10:30:00,BZN|DE-LU,50682.46
43,2025-01-01 10:45:00,BZN|DE-LU,51345.2
44,2025-01-01 11:00:00,BZN|DE-LU,51941.84
45,2025-01-01 11:15:00,BZN|DE-LU,52481.4
46,2025-01-01 11:30:00,BZN|DE-LU,52896.73
47,2025-01-01 11:45:00,BZN|DE-LU,53029.77
48,2025-01-01 12:00:00,BZN|DE-LU,53587.95
49,2025-01-01 12:15:00,BZN|DE-LU,53597.0
50,2025-01-01 12:30:00,BZN|DE-LU,53642.01
51,2025-01-01 12:45:00,BZN|DE-LU,53748.9
52,2025-01-01 13:00:00,BZN|DE-LU,53331.12
53,2025-01-01 13:15:00,BZN|DE-LU,52326.86
54,2025-01-01 13:30:00,BZN|DE-LU,52063.63
55,2025-01-01 13:45:00,BZN|DE-LU,51783.03
56,2025-01-01 14:00:00,BZN|DE-LU,51544.53
57,2025-01-01 14:15:00,BZN|DE-LU,51212.07
58,2025-01-01 14:30:00,BZN|DE-LU,51146.61
59,2025-01-01 14:45:00,BZN|DE-LU,51156.98
60,2025-01-01 15:00:00,BZN|DE-LU,52151.92
61,2025-01-01 15:15:00,BZN|DE-LU,52192.48
62,2025-01-01 15:30:00,BZN|DE-LU,52282.54
63,2025-01-01 15:45:00,BZN|DE-LU,52699.94
64,2025-01-01 16:00:00,BZN|DE-LU,53307.96
65,2025-01-01 16:15:00,BZN|DE-LU,53774.25
66,2025-01-01 16:30:00,BZN|DE-LU,54721.25
67,2025-01-01 16:45:00,BZN|DE-LU,55951.11
68,2025-01-01 17:00:00,BZN|DE-LU,55625.1
69,2025-01-01 17:15:00,BZN|DE-LU,56061.3
70,2025-01-01 17:30:00,BZN|DE-LU,56596.03
71,2025-01-01 17:45:00,BZN|DE-LU,56951.15
72,2025-01-01 18:00:00,BZN|DE-LU,57033.78
73,2025-01-01 18:15:00,BZN|DE-LU,56602.75
74,2025-01-01 18:30:00,BZN|DE-LU,56392.64
75,2025-01-01 18:45:00,BZN|DE-LU,55841.28
76,2025-01-01 19:00:00,BZN|DE-LU,55985.21
77,2025-01-01 19:15:00,BZN|DE-LU,55403.67
78,2025-01-01 19:30:00,BZN|DE-LU,55228.42
79,2025-01-01 19:45:00,BZN|DE-LU,54552.95
80,2025-01-01 20:00:00,BZN|DE-LU,53754.08
81,2025-01-01 20:15:00,BZN|DE-LU,53491.22
82,2025-01-01 20:30:00,BZN|DE-LU,52858.66
83,2025-01-01 20:45:00,BZN|DE-LU,52074.72
84,2025-01-01 21:00:00,BZN|DE-LU,52034.79
85,2025-01-01 21:15:00,BZN|DE-LU,51569.79
86,2025-01-01 21:30:00,BZN|DE-LU,50853.98
87,2025-01-01 21:45:00,BZN|DE-LU,50263.85
88,2025-01-01 22:00:00,BZN|DE-LU,49945.39
89,2025-01-01 22:15:00,BZN|DE-LU,49688.93
90,2025-01-01 22:30:00,BZN|DE-LU,48807.22
91,2025-01-01 22:45:00,BZN|DE-LU,47887.02
92,2025-01-01 23:00:00,BZN|DE-LU,47561.74
93,2025-01-01 23:15:00,BZN|DE-LU,47255.18
94,2025-01-01 23:30:00,BZN|DE-LU,45914.34
95,2025-01-01 23:45:00,BZN|DE-LU,45122.11
96,2025-02-01 00:00:00,BZN|DE-LU,45318.29
97,2025-02-01 00:15:00,BZN|DE-LU,45061.48
98,2025-02-01 00:30:00,BZN|DE-LU,44118.45
99,2025-02-01 00:45:00,BZN|DE-LU,43669.7
100,2025-02-01 01:00:00,BZN|DE-LU,42758.12
101,2025-02-01 01:15:00,BZN|DE-LU,42553.66
102,2025-02-01 01:30:00,BZN|DE-LU,42363.51
103,2025-02-01 01:45:00,BZN|DE-LU,42219.42
104,2025-02-01 02:00:00,BZN|DE-LU,41688.94
105,2025-02-01 02:15:00,BZN|DE-LU,41675.94
106,2025-02-01 02:30:00,BZN|DE-LU,41473.05
107,2025-02-01 02:45:00,BZN|DE-LU,41745.07
108,2025-02-01 03:00:00,BZN|DE-LU,41402.3
109,2025-02-01 03:15:00,BZN|DE-LU,41952.85
110,2025-02-01 03:30:00,BZN|DE-LU,42150.3
111,2025-02-01 03:45:00,BZN|DE-LU,42322.86
112,2025-02-01 04:00:00,BZN|DE-LU,42486.6
113,2025-02-01 04:15:00,BZN|DE-LU,42030.54
114,2025-02-01 04:30:00,BZN|DE-LU,42338.23
115,2025-02-01 04:45:00,BZN|DE-LU,43061.18
116,2025-02-01 05:00:00,BZN|DE-LU,43210.2
117,2025-02-01 05:15:00,BZN|DE-LU,43772.59
118,2025-02-01 05:30:00,BZN|DE-LU,45035.48
119,2025-02-01 05:45:00,BZN|DE-LU,46012.48
120,2025-02-01 06:00:00,BZN|DE-LU,48338.78
121,2025-02-01 06:15:00,BZN|DE-LU,49329.74
122,2025-02-01 06:30:00,BZN|DE-LU,50760.78
