,Area,MTU (CET/CEST),Actual Total Load (MW)
0,BZN|FR,2024-01-01 00:00:00,52847.0
1,BZN|FR,2024-01-01 00:15:00,52847.0
2,BZN|FR,2024-01-01 00:30:00,52847.0
3,BZN|FR,2024-01-01 00:45:00,52847.0
4,BZN|FR,2024-01-01 01:00:00,51600.0
5,BZN|FR,2024-01-01 01:15:00,51600.0
6,BZN|FR,2024-01-01 01:30:00,51600.0
7,BZN|FR,2024-01-01 01:45:00,51600.0
8,BZN|FR,2024-01-01 02:00:00,50992.0
9,BZN|FR,2024-01-01 02:15:00,50992.0
10,BZN|FR,2024-01-01 02:30:00,50992.0
11,BZN|FR,2024-01-01 02:45:00,50992.0
12,BZN|FR,2024-01-01 03:00:00,48187.0
13,BZN|FR,2024-01-01 03:15:00,48187.0
14,BZN|FR,2024-01-01 03:30:00,48187.0
15,BZN|FR,2024-01-01 03:45:00,48187.0
16,BZN|FR,2024-01-01 04:00:00,46479.0
17,BZN|FR,2024-01-01 04:15:00,46479.0
18,BZN|FR,2024-01-01 04:30:00,46479.0
19,BZN|FR,2024-01-01 04:45:00,46479.0
20,BZN|FR,2024-01-01 05:00:00,46285.0
21,BZN|FR,2024-01-01 05:15:00,46285.0
22,BZN|FR,2024-01-01 05:30:00,46285.0
23,BZN|FR,2024-01-01 05:45:00,46285.0
24,BZN|FR,2024-01-01 06:00:00,46633.0
25,BZN|FR,2024-01-01 06:15:00,46633.0
26,BZN|FR,2024-01-01 06:30:00,46633.0
27,BZN|FR,2024-01-01 06:45:00,46633.0
28,BZN|FR,2024-01-01 07:00:00,46820.0
29,BZN|FR,2024-01-01 07:15:00,46820.0
30,BZN|FR,2024-01-01 07:30:00,46820.0
31,BZN|FR,2024-01-01 07:45:00,46820.0
32,BZN|FR,2024-01-01 08:00:00,46877.0
33,BZN|FR,2024-01-01 08:15:00,46877.0
34,BZN|FR,2024-01-01 08:30:00,46877.0
35,BZN|FR,2024-01-01 08:45:00,46877.0
36,BZN|FR,2024-01-01 09:00:00,47690.0
37,BZN|FR,2024-01-01 09:15:00,47690.0
38,BZN|FR,2024-01-01 09:30:00,47690.0
39,BZN|FR,2024-01-01 09:45:00,47690.0
40,BZN|FR,2024-01-01 10:00:00,49158.0
41,BZN|FR,2024-01-01 10:15:00,49158.0
42,BZN|FR,2024-01-01 10:30:00,49158.0
43,BZN|FR,2024-01-01 10:45:00,49158.0
44,BZN|FR,2024-01-01 11:00:00,50275.0
45,BZN|FR,2024-01-01 11:15:00,50275.0
46,BZN|FR,2024-01-01 11:30:00,50275.0
47,BZN|FR,2024-01-01 11:45:00,50275.0
48,BZN|FR,2024-01-01 12:00:00,50897.0
49,BZN|FR,2024-01-01 12:15:00,50897.0
50,BZN|FR,2024-01-01 12:30:00,50897.0
51,BZN|FR,2024-01-01 12:45:00,50897.0
52,BZN|FR,2024-01-01 13:00:00,49197.0
53,BZN|FR,2024-01-01 13:15:00,49197.0
54,BZN|FR,2024-01-01 13:30:00,49197.0
55,BZN|FR,2024-01-01 13:45:00,49197.0
56,BZN|FR,2024-01-01 14:00:00,48355.0
57,BZN|FR,2024-01-01 14:15:00,48355.0
58,BZN|FR,2024-01-01 14:30:00,48355.0
59,BZN|FR,2024-01-01 14:45:00,48355.0
60,BZN|FR,2024-01-01 15:00:00,47879.0
61,BZN|FR,2024-01-01 15:15:00,47879.0
62,BZN|FR,2024-01-01 15:30:00,47879.0
63,BZN|FR,2024-01-01 15:45:00,47879.0
64,BZN|FR,2024-01-01 16:00:00,47633.0
65,BZN|FR,2024-01-01 16:15:00,47633.0
66,BZN|FR,2024-01-01 16:30:00,47633.0
67,BZN|FR,2024-01-01 16:45:00,47633.0
68,BZN|FR,2024-01-01 17:00:00,50761.0
69,BZN|FR,2024-01-01 17:15:00,50761.0
70,BZN|FR,2024-01-01 17:30:00,50761.0
71,BZN|FR,2024-01-01 17:45:00,50761.0
72,BZN|FR,2024-01-01 18:00:00,53965.0
73,BZN|FR,2024-01-01 18:15:00,53965.0
74,BZN|FR,2024-01-01 18:30:00,53965.0
75,BZN|FR,2024-01-01 18:45:00,53965.0
76,BZN|FR,2024-01-01 19:00:00,54973.0
77,BZN|FR,2024-01-01 19:15:00,54973.0
78,BZN|FR,2024-01-01 19:30:00,54973.0
79,BZN|FR,2024-01-01 19:45:00,54973.0
80,BZN|FR,2024-01-01 20:00:00,53641.0
81,BZN|FR,2024-01-01 20:15:00,53641.0
82,BZN|FR,2024-01-01 20:30:00,53641.0
83,BZN|FR,2024-01-01 20:45:00,53641.0
84,BZN|FR,2024-01-01 21:00:00,52244.0
85,BZN|FR,2024-01-01 21:15:00,52244.0
86,BZN|FR,2024-01-01 21:30:00,52244.0
87,BZN|FR,2024-01-01 21:45:00,52244.0
88,BZN|FR,2024-01-01 22:00:00,53034.0
89,BZN|FR,2024-01-01 22:15:00,53034.0
90,BZN|FR,2024-01-01 22:30:00,53034.0
91,BZN|FR,2024-01-01 22:45:00,53034.0
92,BZN|FR,2024-01-01 23:00:00,53157.0
93,BZN|FR,2024-01-01 23:15:00,53157.0
94,BZN|FR,2024-01-01 23:30:00,53157.0
95,BZN|FR,2024-01-01 23:45:00,53157.0
96,BZN|FR,2024-01-02 00:00:00,55844.0
97,BZN|FR,2024-01-02 00:15:00,55844.0
98,BZN|FR,2024-01-02 00:30:00,55844.0
99,BZN|FR,2024-01-02 00:45:00,55844.0
100,BZN|FR,2024-01-02 01:00:00,55843.0
101,BZN|FR,2024-01-02 01:15:00,55843.0
102,BZN|FR,2024-01-02 01:30:00,55843.0
103,BZN|FR,2024-01-02 01:45:00,55843.0
104,BZN|FR,2024-01-02 02:00:00,53931.0
105,BZN|FR,2024-01-02 02:15:00,53931.0
106,BZN|FR,2024-01-02 02:30:00,53931.0
107,BZN|FR,2024-01-02 02:45:00,53931.0
