,MTU (CET/CEST),Area,Actual Total Load (MW)
0,2024-01-01 00:00:00,BZN|NL,11257.49
1,2024-01-01 00:15:00,BZN|NL,11279.48
2,2024-01-01 00:30:00,BZN|NL,11290.94
3,2024-01-01 00:45:00,BZN|NL,11265.92
4,2024-01-01 01:00:00,BZN|NL,11311.9
5,2024-01-01 01:15:00,BZN|NL,11280.72
6,2024-01-01 01:30:00,BZN|NL,11247.95
7,2024-01-01 01:45:00,BZN|NL,11127.99
8,2024-01-01 02:00:00,BZN|NL,11127.2
9,2024-01-01 02:15:00,BZN|NL,11073.62
10,2024-01-01 02:30:00,BZN|NL,10982.28
11,2024-01-01 02:45:00,BZN|NL,10894.3
12,2024-01-01 03:00:00,BZN|NL,10848.26
13,2024-01-01 03:15:00,BZN|NL,10757.63
14,2024-01-01 03:30:00,BZN|NL,10782.92
15,2024-01-01 03:45:00,BZN|NL,10714.58
16,2024-01-01 04:00:00,BZN|NL,10703.44
17,2024-01-01 04:15:00,BZN|NL,10626.93
18,2024-01-01 04:30:00,BZN|NL,10598.12
19,2024-01-01 04:45:00,BZN|NL,10579.73
20,2024-01-01 05:00:00,BZN|NL,10614.47
21,2024-01-01 05:15:00,BZN|NL,10661.68
22,2024-01-01 05:30:00,BZN|NL,10710.22
23,2024-01-01 05:45:00,BZN|NL,10726.83
24,2024-01-01 06:00:00,BZN|NL,10851.52
25,2024-01-01 06:15:00,BZN|NL,10861.34
26,2024-01-01 06:30:00,BZN|NL,10874.69
27,2024-01-01 06:45:00,BZN|NL,10911.92
28,2024-01-01 07:00:00,BZN|NL,11052.11
29,2024-01-01 07:15:00,BZN|NL,11076.47
30,2024-01-01 07:30:00,BZN|NL,11202.04
31,2024-01-01 07:45:00,BZN|NL,11251.75
32,2024-01-01 08:00:00,BZN|NL,11382.46
33,2024-01-01 08:15:00,BZN|NL,11556.83
34,2024-01-01 08:30:00,BZN|NL,11623.94
35,2024-01-01 08:45:00,BZN|NL,11686.27
36,2024-01-01 09:00:00,BZN|NL,11789.55
37,2024-01-01 09:15:00,BZN|NL,11849.63
38,2024-01-01 09:30:00,BZN|NL,11911.64
39,2024-01-01 09:45:00,BZN|NL,12063.69
40,2024-01-01 10:00:00,BZN|NL,12155.82
41,2024-01-01 10:15:00,BZN|NL,12224.21
42,2024-01-01 10:30:00,BZN|NL,12246.54
43,2024-01-01 10:45:00,BZN|NL,12296.2
44,2024-01-01 11:00:00,BZN|NL,12331.84
45,2024-01-01 11:15:00,BZN|NL,12352.08
46,2024-01-01 11:30:00,BZN|NL,12384.52
47,2024-01-01 11:45:00,BZN|NL,12374.46
48,2024-01-01 12:00:00,BZN|NL,12379.92
49,2024-01-01 12:15:00,BZN|NL,12402.74
50,2024-01-01 12:30:00,BZN|NL,12442.69
51,2024-01-01 12:45:00,BZN|NL,12496.32
52,2024-01-01 13:00:00,BZN|NL,12517.71
53,2024-01-01 13:15:00,BZN|NL,12513.51
54,2024-01-01 13:30:00,BZN|NL,12549.23
55,2024-01-01 13:45:00,BZN|NL,12489.41
56,2024-01-01 14:00:00,BZN|NL,12511.64
57,2024-01-01 14:15:00,BZN|NL,12568.81
58,2024-01-01 14:30:00,BZN|NL,12609.98
59,2024-01-01 14:45:00,BZN|NL,12722.51
60,2024-01-01 15:00:00,BZN|NL,12829.19
61,2024-01-01 15:15:00,BZN|NL,12927.9
62,2024-01-01 15:30:00,BZN|NL,12996.32
63,2024-01-01 15:45:00,BZN|NL,13165.18
64,2024-01-01 16:00:00,BZN|NL,13300.64
65,2024-01-01 16:15:00,BZN|NL,13545.05
66,2024-01-01 16:30:00,BZN|NL,13656.17
67,2024-01-01 16:45:00,BZN|NL,13947.79
68,2024-01-01 17:00:00,BZN|NL,14105.65
69,2024-01-01 17:15:00,BZN|NL,14303.72
70,2024-01-01 17:30:00,BZN|NL,14413.79
71,2024-01-01 17:45:00,BZN|NL,14485.48
72,2024-01-01 18:00:00,BZN|NL,14495.05
73,2024-01-01 18:15:00,BZN|NL,14451.77
74,2024-01-01 18:30:00,BZN|NL,14354.82
75,2024-01-01 18:45:00,BZN|NL,14301.0
76,2024-01-01 19:00:00,BZN|NL,14181.38
77,2024-01-01 19:15:00,BZN|NL,14093.38
78,2024-01-01 19:30:00,BZN|NL,13906.15
79,2024-01-01 19:45:00,BZN|NL,13834.95
80,2024-01-01 20:00:00,BZN|NL,13618.09
81,2024-01-01 20:15:00,BZN|NL,13414.98
82,2024-01-01 20:30:00,BZN|NL,13309.81
83,2024-01-01 20:45:00,BZN|NL,13250.79
84,2024-01-01 21:00:00,BZN|NL,13135.82
85,2024-01-01 21:15:00,BZN|NL,13082.88
86,2024-01-01 21:30:00,BZN|NL,12906.86
87,2024-01-01 21:45:00,BZN|NL,12790.77
88,2024-01-01 22:00:00,BZN|NL,12600.64
89,2024-01-01 22:15:00,BZN|NL,12442.45
90,2024-01-01 22:30:00,BZN|NL,12232.46
91,2024-01-01 22:45:00,BZN|NL,12054.5
92,2024-01-01 23:00:00,BZN|NL,11927.4
93,2024-01-01 23:15:00,BZN|NL,11796.79
94,2024-01-01 23:30:00,BZN|NL,11612.07
95,2024-01-01 23:45:00,BZN|NL,11514.76
96,2024-02-01 00:00:00,BZN|NL,11475.63
97,2024-02-01 00:15:00,BZN|NL,11458.79
98,2024-02-01 00:30:00,BZN|NL,11362.17
99,2024-02-01 00:45:00,BZN|NL,11203.67
100,2024-02-01 01:00:00,BZN|NL,11138.51
101,2024-02-01 01:15:00,BZN|NL,11080.62
102,2024-02-01 01:30:00,BZN|NL,10992.89
103,2024-02-01 01:45:00,BZN|NL,10970.47
104,2024-02-01 02:00:00,BZN|NL,10903.68
105,2024-02-01 02:15:00,BZN|NL,10896.78
106,2024-02-01 02:30:00,BZN|NL,10868.03
107,2024-02-01 02:45:00,BZN|NL,10807.54
108,2024-02-01 03:00:00,BZN|NL,10838.26
109,2024-02-01 03:15:00,BZN|NL,10807.98
110,2024-02-01 03:30:00,BZN|NL,10812.33
111,2024-02-01 03:45:00,BZN|NL,10800.5
112,2024-02-01 04:00:00,BZN|NL,10820.46
113,2024-02-01 04:15:00,BZN|NL,10875.21
114,2024-02-01 04:30:00,BZN|NL,10896.36
115,2024-02-01 04:45:00,BZN|NL,10965.82
116,2024-02-01 05:00:00,BZN|NL,11110.16
117,2024-02-01 05:15:00,BZN|NL,11231.66
118,2024-02-01 05:30:00,BZN|NL,11375.63
119,2024-02-01 05:45:00,BZN|NL,11565.75
120,2024-02-01 06:00:00,BZN|NL,11954.69
121,2024-02-01 06:15:00,BZN|NL,12204.92
122,2024-02-01 06:30:00,BZN|NL,12479.49
123,2024-02-01 06:45:00,BZN|NL,12728.54
124,2024-02-01 07:00:00,BZN|NL,13229.04
125,2024-02-01 07:15:00,BZN|NL,13575.63
126,2024-02-01 07:30:00,BZN|NL,13919.48
127,2024-02-01 07:45:00,BZN|NL,14277.78
128,2024-02-01 08:00:00,BZN|NL,14632.18
129,2024-02-01 08:15:00,BZN|NL,14934.43
130,2024-02-01 08:30:00,BZN|NL,15153.03
131,2024-02-01 08:45:00,BZN|NL,15348.36
132,2024-02-01 09:00:00,BZN|NL,15484.01
133,2024-02-01 09:15:00,BZN|NL,15591.77
134,2024-02-01 09:30:00,BZN|NL,15672.21
135,2024-02-01 09:45:00,BZN|NL,15689.64
136,2024-02-01 10:00:00,BZN|NL,15635.59
137,2024-02-01 10:15:00,BZN|NL,15562.97
138,2024-02-01 10:30:00,BZN|NL,15528.51
139,2024-02-01 10:45:00,BZN|NL,15554.97
140,2024-02-01 11:00:00,BZN|NL,15593.43
141,2024-02-01 11:15:00,BZN|NL,15636.62
142,2024-02-01 11:30:00,BZN|NL,15705.3
143,2024-02-01 11:45:00,BZN|NL,15768.96
144,2024-02-01 12:00:00,BZN|NL,15863.26
145,2024-02-01 12:15:00,BZN|NL,15986.66
146,2024-02-01 12:30:00,BZN|NL,15984.08
147,2024-02-01 12:45:00,BZN|NL,16011.25
148,2024-02-01 13:00:00,BZN|NL,16036.99
149,2024-02-01 13:15:00,BZN|NL,16063.88
150,2024-02-01 13:30:00,BZN|NL,16068.96
151,2024-02-01 13:45:00,BZN|NL,16068.26
152,2024-02-01 14:00:00,BZN|NL,16039.32
153,2024-02-01 14:15:00,BZN|NL,16012.01
154,2024-02-01 14:30:00,BZN|NL,16042.95
155,2024-02-01 14:45:00,BZN|NL,16042.8
156,2024-02-01 15:00:00,BZN|NL,16083.01
157,2024-02-01 15:15:00,BZN|NL,16120.72
158,2024-02-01 15:30:00,BZN|NL,16216.0
159,2024-02-01 15:45:00,BZN|NL,16276.28
160,2024-02-01 16:00:00,BZN|NL,16354.61
161,2024-02-01 16:15:00,BZN|NL,16414.35
162,2024-02-01 16:30:00,BZN|NL,16536.21
163,2024-02-01 16:45:00,BZN|NL,16793.41
164,2024-02-01 17:00:00,BZN|NL,16941.59
165,2024-02-01 17:15:00,BZN|NL,17053.63
166,2024-02-01 17:30:00,BZN|NL,17115.14
167,2024-02-01 17:45:00,BZN|NL,17042.43
168,2024-02-01 18:00:00,BZN|NL,16742.9
169,2024-02-01 18:15:00,BZN|NL,16508.38
170,2024-02-01 18:30:00,BZN|NL,16347.65
171,2024-02-01 18:45:00,BZN|NL,16198.63
172,2024-02-01 19:00:00,BZN|NL,15982.2
173,2024-02-01 19:15:00,BZN|NL,15827.74
174,2024-02-01 19:30:00,BZN|NL,15640.77
175,2024-02-01 19:45:00,BZN|NL,15584.73
176,2024-02-01 20:00:00,BZN|NL,15271.5
177,2024-02-01 20:15:00,BZN|NL,15108.06
178,2024-02-01 20:30:00,BZN|NL,14947.6
179,2024-02-01 20:45:00,BZN|NL,14785.08
180,2024-02-01 21:00:00,BZN|NL,14532.13
181,2024-02-01 21:15:00,BZN|NL,14395.3
182,2024-02-01 21:30:00,BZN|NL,14221.53
183,2024-02-01 21:45:00,BZN|NL,14011.41
184,2024-02-01 22:00:00,BZN|NL,13728.46
185,2024-02-01 22:15:00,BZN|NL,13538.38
186,2024-02-01 22:30:00,BZN|NL,13346.64
187,2024-02-01 22:45:00,BZN|NL,13150.28
188,2024-02-01 23:00:00,BZN|NL,12882.88
189,2024-02-01 23:15:00,BZN|NL,12689.12
190,2024-02-01 23:30:00,BZN|NL,12525.31
