,Time,Area,Total load
0,2024-01-01 00:00:00,BZN|FR,52847.0
1,2024-01-01 01:00:00,BZN|FR,51600.0
2,2024-01-01 02:00:00,BZN|FR,50992.0
3,2024-01-01 03:00:00,BZN|FR,48187.0
4,2024-01-01 04:00:00,BZN|FR,46479.0
5,2024-01-01 05:00:00,BZN|FR,46285.0
6,2024-01-01 06:00:00,BZN|FR,46633.0
7,2024-01-01 07:00:00,BZN|FR,46820.0
8,2024-01-01 08:00:00,BZN|FR,46877.0
9,2024-01-01 09:00:00,BZN|FR,47690.0
10,2024-01-01 10:00:00,BZN|FR,49158.0
11,2024-01-01 11:00:00,BZN|FR,50275.0
12,2024-01-01 12:00:00,BZN|FR,50897.0
13,2024-01-01 13:00:00,BZN|FR,49197.0
14,2024-01-01 14:00:00,BZN|FR,48355.0
15,2024-01-01 15:00:00,BZN|FR,47879.0
16,2024-01-01 16:00:00,BZN|FR,47633.0
17,2024-01-01 17:00:00,BZN|FR,50761.0
18,2024-01-01 18:00:00,BZN|FR,53965.0
19,2024-01-01 19:00:00,BZN|FR,54973.0
20,2024-01-01 20:00:00,BZN|FR,53641.0
21,2024-01-01 21:00:00,BZN|FR,52244.0
22,2024-01-01 22:00:00,BZN|FR,53034.0
23,2024-01-01 23:00:00,BZN|FR,53157.0
24,2024-02-01 00:00:00,BZN|FR,50832.0
25,2024-02-01 01:00:00,BZN|FR,49234.0
26,2024-02-01 02:00:00,BZN|FR,48397.0
27,2024-02-01 03:00:00,BZN|FR,46148.0
28,2024-02-01 04:00:00,BZN|FR,45319.0
29,2024-02-01 05:00:00,BZN|FR,46963.0
30,2024-02-01 06:00:00,BZN|FR,50314.0
31,2024-02-01 07:00:00,BZN|FR,53487.0
32,2024-02-01 08:00:00,BZN|FR,55847.0
33,2024-02-01 09:00:00,BZN|FR,57652.0
34,2024-02-01 10:00:00,BZN|FR,59159.0
35,2024-02-01 11:00:00,BZN|FR,60575.0
36,2024-02-01 12:00:00,BZN|FR,61433.0
37,2024-02-01 13:00:00,BZN|FR,60080.0
38,2024-02-01 14:00:00,BZN|FR,59888.0
39,2024-02-01 15:00:00,BZN|FR,58747.0
40,2024-02-01 16:00:00,BZN|FR,57433.0
41,2024-02-01 17:00:00,BZN|FR,58778.0
42,2024-02-01 18:00:00,BZN|FR,61040.0
43,2024-02-01 19:00:00,BZN|FR,61209.0
44,2024-02-01 20:00:00,BZN|FR,58059.0
45,2024-02-01 21:00:00,BZN|FR,55019.0
46,2024-02-01 22:00:00,BZN|FR,54961.0
47,2024-02-01 23:00:00,BZN|FR,54616.0
48,2024-03-01 00:00:00,BZN|FR,52058.0
49,2024-03-01 01:00:00,BZN|FR,50384.0
50,2024-03-01 02:00:00,BZN|FR,49378.0
51,2024-03-01 03:00:00,BZN|FR,47164.0
52,2024-03-01 04:00:00,BZN|FR,46297.0
53,2024-03-01 05:00:00,BZN|FR,47997.0
54,2024-03-01 06:00:00,BZN|FR,52066.0
55,2024-03-01 07:00:00,BZN|FR,55581.0
56,2024-03-01 08:00:00,BZN|FR,58221.0
57,2024-03-01 09:00:00,BZN|FR,59455.0
58,2024-03-01 10:00:00,BZN|FR,60022.0
