"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"01/01/2024 00:00 - 01/01/2024 00:15","BZN|BE","7520.77","8463.37"
"01/01/2024 00:15 - 01/01/2024 00:30","BZN|BE","7456.06","8348.92"
"01/01/2024 00:30 - 01/01/2024 00:45","BZN|BE","7424.53","8237.88"
"01/01/2024 00:45 - 01/01/2024 01:00","BZN|BE","7343.54","8103.65"
"01/01/2024 01:00 - 01/01/2024 01:15","BZN|BE","7335.32","7981.81"
"01/01/2024 01:15 - 01/01/2024 01:30","BZN|BE","7265.05","7918.61"
"01/01/2024 01:30 - 01/01/2024 01:45","BZN|BE","7247.54","7846.26"
"01/01/2024 01:45 - 01/01/2024 02:00","BZN|BE","7202.48","7751.66"
"01/01/2024 02:00 - 01/01/2024 02:15","BZN|BE","7142.98","7667.03"
"01/01/2024 02:15 - 01/01/2024 02:30","BZN|BE","7066.17","7571.50"
"01/01/2024 02:30 - 01/01/2024 02:45","BZN|BE","7000.93","7523.58"
"01/01/2024 02:45 - 01/01/2024 03:00","BZN|BE","6921.65","7447.71"
"01/01/2024 03:00 - 01/01/2024 03:15","BZN|BE","6878.37","7370.84"
"01/01/2024 03:15 - 01/01/2024 03:30","BZN|BE","6835.46","7282.17"
"01/01/2024 03:30 - 01/01/2024 03:45","BZN|BE","6785.06","7257.41"
"01/01/2024 03:45 - 01/01/2024 04:00","BZN|BE","6754.65","7214.48"
"01/01/2024 04:00 - 01/01/2024 04:15","BZN|BE","6751.79","7180.53"
"01/01/2024 04:15 - 01/01/2024 04:30","BZN|BE","6699.04","7131.65"
"01/01/2024 04:30 - 01/01/2024 04:45","BZN|BE","6680.21","7129.56"
"01/01/2024 04:45 - 01/01/2024 05:00","BZN|BE","6654.29","7130.73"
"01/01/2024 05:00 - 01/01/2024 05:15","BZN|BE","6703.01","7130.68"
"01/01/2024 05:15 - 01/01/2024 05:30","BZN|BE","6707.32","7126.56"
"01/01/2024 05:30 - 01/01/2024 05:45","BZN|BE","6723.33","7142.47"
"01/01/2024 05:45 - 01/01/2024 06:00","BZN|BE","6724.01","7156.93"
"01/01/2024 06:00 - 01/01/2024 06:15","BZN|BE","6805.42","7191.41"
"01/01/2024 06:15 - 01/01/2024 06:30","BZN|BE","6867.33","7218.77"
