"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"01/01/2024 00:00 - 01/01/2024 01:00","BZN|FR","52847.00","54300.00"
"01/01/2024 01:00 - 01/01/2024 02:00","BZN|FR","51600.00","52900.00"
"01/01/2024 02:00 - 01/01/2024 03:00","BZN|FR","50992.00","51850.00"
"01/01/2024 03:00 - 01/01/2024 04:00","BZN|FR","48187.00","49250.00"
"01/01/2024 04:00 - 01/01/2024 05:00","BZN|FR","46479.00","47050.00"
"01/01/2024 05:00 - 01/01/2024 06:00","BZN|FR","46285.00","46150.00"
"01/01/2024 06:00 - 01/01/2024 07:00","BZN|FR","46633.00","45500.00"
"01/01/2024 07:00 - 01/01/2024 08:00","BZN|FR","46820.00","45100.00"
"01/01/2024 08:00 - 01/01/2024 09:00","BZN|FR","46877.00","45300.00"
"01/01/2024 09:00 - 01/01/2024 10:00","BZN|FR","47690.00","45650.00"
"01/01/2024 10:00 - 01/01/2024 11:00","BZN|FR","49158.00","47850.00"
"01/01/2024 11:00 - 01/01/2024 12:00","BZN|FR","50275.00","50550.00"
"01/01/2024 12:00 - 01/01/2024 13:00","BZN|FR","50897.00","51300.00"
"01/01/2024 13:00 - 01/01/2024 14:00","BZN|FR","49197.00","50000.00"
"01/01/2024 14:00 - 01/01/2024 15:00","BZN|FR","48355.00","48900.00"
"01/01/2024 15:00 - 01/01/2024 16:00","BZN|FR","47879.00","47900.00"
"01/01/2024 16:00 - 01/01/2024 17:00","BZN|FR","47633.00","47200.00"
"01/01/2024 17:00 - 01/01/2024 18:00","BZN|FR","50761.00","49300.00"
"01/01/2024 18:00 - 01/01/2024 19:00","BZN|FR","53965.00","52300.00"
"01/01/2024 19:00 - 01/01/2024 20:00","BZN|FR","54973.00","53900.00"
"01/01/2024 20:00 - 01/01/2024 21:00","BZN|FR","53641.00","52550.00"
"01/01/2024 21:00 - 01/01/2024 22:00","BZN|FR","52244.00","51150.00"
"01/01/2024 22:00 - 01/01/2024 23:00","BZN|FR","53034.00","50850.00"
"01/01/2024 23:00 - 02/01/2024 00:00","BZN|FR","53157.00","52750.00"
"02/01/2024 00:00 - 02/01/2024 01:00","BZN|FR","50832.00","49600.00"
"02/01/2024 01:00 - 02/01/2024 02:00","BZN|FR","49234.00","47650.00"
"02/01/2024 02:00 - 02/01/2024 03:00","BZN|FR","48397.00","47500.00"
"02/01/2024 03:00 - 02/01/2024 04:00","BZN|FR","46148.00","45500.00"
"02/01/2024 04:00 - 02/01/2024 05:00","BZN|FR","45319.00","44200.00"
"02/01/2024 05:00 - 02/01/2024 06:00","BZN|FR","46963.00","44550.00"
"02/01/2024 06:00 - 02/01/2024 07:00","BZN|FR","50314.00","47150.00"
"02/01/2024 07:00 - 02/01/2024 08:00","BZN|FR","53487.00","50550.00"
"02/01/2024 08:00 - 02/01/2024 09:00","BZN|FR","55847.00","52950.00"
"02/01/2024 09:00 - 02/01/2024 10:00","BZN|FR","57652.00","54550.00"
"02/01/2024 10:00 - 02/01/2024 11:00","BZN|FR","59159.00","56400.00"
"02/01/2024 11:00 - 02/01/2024 12:00","BZN|FR","60575.00","57750.00"
"02/01/2024 12:00 - 02/01/2024 13:00","BZN|FR","61433.00","59400.00"
"02/01/2024 13:00 - 02/01/2024 14:00","BZN|FR","60080.00","57750.00"
"02/01/2024 14:00 - 02/01/2024 15:00","BZN|FR","59888.00","56550.00"
"02/01/2024 15:00 - 02/01/2024 16:00","BZN|FR","58747.00","55250.00"
