,MTU (CET/CEST),Area,Actual Total Load (MW),Day-ahead Total Load Forecast (MW)
0,2025-01-01 00:00:00,BZN|FR,64520.63,64000.0
1,2025-01-01 00:15:00,BZN|FR,63716.07,63350.0
2,2025-01-01 00:30:00,BZN|FR,62503.17,62700.0
3,2025-01-01 00:45:00,BZN|FR,61490.91,61900.0
4,2025-01-01 01:00:00,BZN|FR,61780.02,61100.0
5,2025-01-01 01:15:00,BZN|FR,61542.76,61350.0
6,2025-01-01 01:30:00,BZN|FR,61594.48,61600.0
7,2025-01-01 01:45:00,BZN|FR,61084.92,61450.0
8,2025-01-01 02:00:00,BZN|FR,61409.19,61300.0
9,2025-01-01 02:15:00,BZN|FR,60750.84,60500.0
10,2025-01-01 02:30:00,BZN|FR,60067.84,59700.0
11,2025-01-01 02:45:00,BZN|FR,59267.35,58750.0
12,2025-01-01 03:00:00,BZN|FR,58795.53,57800.0
13,2025-01-01 03:15:00,BZN|FR,58179.02,57100.0
14,2025-01-01 03:30:00,BZN|FR,57657.17,56400.0
15,2025-01-01 03:45:00,BZN|FR,56876.29,55800.0
16,2025-01-01 04:00:00,BZN|FR,56698.14,55200.0
17,2025-01-01 04:15:00,BZN|FR,56239.97,54700.0
18,2025-01-01 04:30:00,BZN|FR,55908.34,54200.0
19,2025-01-01 04:45:00,BZN|FR,55610.57,54100.0
20,2025-01-01 05:00:00,BZN|FR,56088.9,54000.0
21,2025-01-01 05:15:00,BZN|FR,55820.61,53900.0
22,2025-01-01 05:30:00,BZN|FR,55819.18,53800.0
23,2025-01-01 05:45:00,BZN|FR,55712.84,53650.0
24,2025-01-01 06:00:00,BZN|FR,56391.92,53500.0
25,2025-01-01 06:15:00,BZN|FR,56439.86,53800.0
26,2025-01-01 06:30:00,BZN|FR,56568.7,54100.0
27,2025-01-01 06:45:00,BZN|FR,56700.5,54100.0
28,2025-01-01 07:00:00,BZN|FR,56883.97,54100.0
29,2025-01-01 07:15:00,BZN|FR,57023.86,54200.0
30,2025-01-01 07:30:00,BZN|FR,57005.2,54300.0
31,2025-01-01 07:45:00,BZN|FR,57187.57,54350.0
32,2025-01-01 08:00:00,BZN|FR,57114.11,54400.0
33,2025-01-01 08:15:00,BZN|FR,57232.05,54250.0
34,2025-01-01 08:30:00,BZN|FR,57312.93,54100.0
35,2025-01-01 08:45:00,BZN|FR,57282.88,54150.0
36,2025-01-01 09:00:00,BZN|FR,57232.74,54200.0
37,2025-01-01 09:15:00,BZN|FR,57628.69,54550.0
38,2025-01-01 09:30:00,BZN|FR,58054.73,54900.0
39,2025-01-01 09:45:00,BZN|FR,58319.69,55250.0
40,2025-01-01 10:00:00,BZN|FR,58527.26,55600.0
41,2025-01-01 10:15:00,BZN|FR,58801.58,56050.0
42,2025-01-01 10:30:00,BZN|FR,59161.11,56500.0
43,2025-01-01 10:45:00,BZN|FR,59352.27,56900.0
44,2025-01-01 11:00:00,BZN|FR,59768.98,57300.0
45,2025-01-01 11:15:00,BZN|FR,60026.39,57600.0
46,2025-01-01 11:30:00,BZN|FR,60188.27,57900.0
47,2025-01-01 11:45:00,BZN|FR,60490.98,58800.0
48,2025-01-01 12:00:00,BZN|FR,61068.51,59700.0
49,2025-01-01 12:15:00,BZN|FR,60530.67,59550.0
50,2025-01-01 12:30:00,BZN|FR,61575.22,59400.0
51,2025-01-01 12:45:00,BZN|FR,61332.23,60000.0
52,2025-01-01 13:00:00,BZN|FR,60866.5,60600.0
53,2025-01-01 13:15:00,BZN|FR,60021.73,59650.0
54,2025-01-01 13:30:00,BZN|FR,59330.08,58700.0
55,2025-01-01 13:45:00,BZN|FR,58467.92,58200.0
56,2025-01-01 14:00:00,BZN|FR,58085.09,57700.0
57,2025-01-01 14:15:00,BZN|FR,57259.36,57400.0
58,2025-01-01 14:30:00,BZN|FR,56733.42,57100.0
59,2025-01-01 14:45:00,BZN|FR,56304.25,56450.0
60,2025-01-01 15:00:00,BZN|FR,56335.25,55800.0
61,2025-01-01 15:15:00,BZN|FR,55955.5,55500.0
62,2025-01-01 15:30:00,BZN|FR,55498.9,55200.0
63,2025-01-01 15:45:00,BZN|FR,55226.46,54900.0
64,2025-01-01 16:00:00,BZN|FR,55272.36,54600.0
65,2025-01-01 16:15:00,BZN|FR,55417.2,54700.0
66,2025-01-01 16:30:00,BZN|FR,55700.3,54800.0
67,2025-01-01 16:45:00,BZN|FR,56060.64,55350.0
68,2025-01-01 17:00:00,BZN|FR,57009.54,55900.0
69,2025-01-01 17:15:00,BZN|FR,58139.53,57050.0
70,2025-01-01 17:30:00,BZN|FR,59307.89,58200.0
71,2025-01-01 17:45:00,BZN|FR,60250.16,59050.0
72,2025-01-01 18:00:00,BZN|FR,61025.37,59900.0
73,2025-01-01 18:15:00,BZN|FR,61572.79,60600.0
74,2025-01-01 18:30:00,BZN|FR,62174.69,61300.0
75,2025-01-01 18:45:00,BZN|FR,62694.73,61900.0
76,2025-01-01 19:00:00,BZN|FR,63154.74,62500.0
77,2025-01-01 19:15:00,BZN|FR,63189.47,62350.0
78,2025-01-01 19:30:00,BZN|FR,62931.16,62200.0
79,2025-01-01 19:45:00,BZN|FR,62520.25,61800.0
80,2025-01-01 20:00:00,BZN|FR,62029.89,61400.0
81,2025-01-01 20:15:00,BZN|FR,61366.98,60800.0
82,2025-01-01 20:30:00,BZN|FR,60746.59,60200.0
83,2025-01-01 20:45:00,BZN|FR,60157.16,59750.0
84,2025-01-01 21:00:00,BZN|FR,59910.5,59300.0
85,2025-01-01 21:15:00,BZN|FR,59323.59,58700.0
86,2025-01-01 21:30:00,BZN|FR,58839.94,58100.0
87,2025-01-01 21:45:00,BZN|FR,58242.44,57650.0
88,2025-01-01 22:00:00,BZN|FR,59416.87,57200.0
89,2025-01-01 22:15:00,BZN|FR,59297.61,57800.0
90,2025-01-01 22:30:00,BZN|FR,60778.69,58400.0
91,2025-01-01 22:45:00,BZN|FR,60496.12,59200.0
92,2025-01-01 23:00:00,BZN|FR,60263.14,60000.0
93,2025-01-01 23:15:00,BZN|FR,59388.67,59600.0
94,2025-01-01 23:30:00,BZN|FR,59831.95,59200.0
95,2025-01-01 23:45:00,BZN|FR,59136.57,59600.0
96,2025-02-01 00:00:00,BZN|FR,59004.24,60000.0
97,2025-02-01 00:15:00,BZN|FR,58068.64,59150.0
98,2025-02-01 00:30:00,BZN|FR,56495.09,58300.0
99,2025-02-01 00:45:00,BZN|FR,55366.21,57450.0
100,2025-02-01 01:00:00,BZN|FR,55659.99,56600.0
101,2025-02-01 01:15:00,BZN|FR,55179.92,56850.0
102,2025-02-01 01:30:00,BZN|FR,55073.56,57100.0
103,2025-02-01 01:45:00,BZN|FR,54515.48,57050.0
104,2025-02-01 02:00:00,BZN|FR,54874.25,57000.0
105,2025-02-01 02:15:00,BZN|FR,54311.1,56400.0
106,2025-02-01 02:30:00,BZN|FR,53781.21,55800.0
107,2025-02-01 02:45:00,BZN|FR,52954.85,55100.0
108,2025-02-01 03:00:00,BZN|FR,52859.73,54400.0
109,2025-02-01 03:15:00,BZN|FR,52352.66,54000.0
110,2025-02-01 03:30:00,BZN|FR,51944.57,53600.0
111,2025-02-01 03:45:00,BZN|FR,51465.3,53300.0
112,2025-02-01 04:00:00,BZN|FR,51549.22,53000.0
113,2025-02-01 04:15:00,BZN|FR,51383.84,53000.0
114,2025-02-01 04:30:00,BZN|FR,51388.32,53000.0
115,2025-02-01 04:45:00,BZN|FR,51439.92,53400.0
116,2025-02-01 05:00:00,BZN|FR,52615.72,53800.0
117,2025-02-01 05:15:00,BZN|FR,52954.87,54500.0
118,2025-02-01 05:30:00,BZN|FR,53484.43,55200.0
