"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"01/01/2024 00:00:00 - 01/01/2024 01:00:00","BZN|BE","Without Sequence","0.10","",""
"01/01/2024 01:00:00 - 01/01/2024 02:00:00","BZN|BE","Without Sequence","0.01","",""
"01/01/2024 02:00:00 - 01/01/2024 03:00:00","BZN|BE","Without Sequence","0.00","",""
"01/01/2024 03:00:00 - 01/01/2024 04:00:00","BZN|BE","Without Sequence","-0.01","",""
"01/01/2024 04:00:00 - 01/01/2024 05:00:00","BZN|BE","Without Sequence","-0.03","",""
"01/01/2024 05:00:00 - 01/01/2024 06:00:00","BZN|BE","Without Sequence","-0.02","",""
"01/01/2024 06:00:00 - 01/01/2024 07:00:00","BZN|BE","Without Sequence","-0.05","",""
"01/01/2024 07:00:00 - 01/01/2024 08:00:00","BZN|BE","Without Sequence","-0.02","",""
"01/01/2024 08:00:00 - 01/01/2024 09:00:00","BZN|BE","Without Sequence","0.00","",""
"01/01/2024 09:00:00 - 01/01/2024 10:00:00","BZN|BE","Without Sequence","0.04","",""
"01/01/2024 10:00:00 - 01/01/2024 11:00:00","BZN|BE","Without Sequence","0.06","",""
"01/01/2024 11:00:00 - 01/01/2024 12:00:00","BZN|BE","Without Sequence","0.54","",""
"01/01/2024 12:00:00 - 01/01/2024 13:00:00","BZN|BE","Without Sequence","2.24","",""
"01/01/2024 13:00:00 - 01/01/2024 14:00:00","BZN|BE","Without Sequence","2.00","",""
"01/01/2024 14:00:00 - 01/01/2024 15:00:00","BZN|BE","Without Sequence","1.35","",""
"01/01/2024 15:00:00 - 01/01/2024 16:00:00","BZN|BE","Without Sequence","4.13","",""
"01/01/2024 16:00:00 - 01/01/2024 17:00:00","BZN|BE","Without Sequence","27.96","",""
"01/01/2024 17:00:00 - 01/01/2024 18:00:00","BZN|BE","Without Sequence","50.37","",""
"01/01/2024 18:00:00 - 01/01/2024 19:00:00","BZN|BE","Without Sequence","53.76","",""
"01/01/2024 19:00:00 - 01/01/2024 20:00:00","BZN|BE","Without Sequence","56.77","",""
"01/01/2024 20:00:00 - 01/01/2024 21:00:00","BZN|BE","Without Sequence","51.40","",""
"01/01/2024 21:00:00 - 01/01/2024 22:00:00","BZN|BE","Without Sequence","35.39","",""
"01/01/2024 22:00:00 - 01/01/2024 23:00:00","BZN|BE","Without Sequence","40.74","",""
"01/01/2024 23:00:00 - 02/01/2024 00:00:00","BZN|BE","Without Sequence","35.55","",""
"02/01/2024 00:00:00 - 02/01/2024 01:00:00","BZN|BE","Without Sequence","23.92","",""
"02/01/2024 01:00:00 - 02/01/2024 02:00:00","BZN|BE","Without Sequence","17.70","",""
"02/01/2024 02:00:00 - 02/01/2024 03:00:00","BZN|BE","Without Sequence","12.39","",""
"02/01/2024 03:00:00 - 02/01/2024 04:00:00","BZN|BE","Without Sequence","7.35","",""
"02/01/2024 04:00:00 - 02/01/2024 05:00:00","BZN|BE","Without Sequence","4.19","",""
"02/01/2024 05:00:00 - 02/01/2024 06:00:00","BZN|BE","Without Sequence","4.75","",""
"02/01/2024 06:00:00 - 02/01/2024 07:00:00","BZN|BE","Without Sequence","31.59","",""
"02/01/2024 07:00:00 - 02/01/2024 08:00:00","BZN|BE","Without Sequence","49.96","",""
