"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"01/01/2025 00:00:00 - 01/01/2025 01:00:00","BZN|SI","Without sequence","118.46","",""
"01/01/2025 01:00:00 - 01/01/2025 02:00:00","BZN|SI","Without sequence","129.07","",""
"01/01/2025 02:00:00 - 01/01/2025 03:00:00","BZN|SI","Without sequence","121.1","",""
"01/01/2025 03:00:00 - 01/01/2025 04:00:00","BZN|SI","Without sequence","94.28","",""
"01/01/2025 04:00:00 - 01/01/2025 05:00:00","BZN|SI","Without sequence","63.69","",""
"01/01/2025 05:00:00 - 01/01/2025 06:00:00","BZN|SI","Without sequence","102.26","",""
"01/01/2025 06:00:00 - 01/01/2025 07:00:00","BZN|SI","Without sequence","99.93","",""
"01/01/2025 07:00:00 - 01/01/2025 08:00:00","BZN|SI","Without sequence","93.56","",""
"01/01/2025 08:00:00 - 01/01/2025 09:00:00","BZN|SI","Without sequence","43.13","",""
"01/01/2025 09:00:00 - 01/01/2025 10:00:00","BZN|SI","Without sequence","47.8","",""
"01/01/2025 10:00:00 - 01/01/2025 11:00:00","BZN|SI","Without sequence","38.5","",""
"01/01/2025 11:00:00 - 01/01/2025 12:00:00","BZN|SI","Without sequence","39.82","",""
"01/01/2025 12:00:00 - 01/01/2025 13:00:00","BZN|SI","Without sequence","40.25","",""
"01/01/2025 13:00:00 - 01/01/2025 14:00:00","BZN|SI","Without sequence","42.59","",""
"01/01/2025 14:00:00 - 01/01/2025 15:00:00","BZN|SI","Without sequence","60.75","",""
"01/01/2025 15:00:00 - 01/01/2025 16:00:00","BZN|SI","Without sequence","80.8","",""
"01/01/2025 16:00:00 - 01/01/2025 17:00:00","BZN|SI","Without sequence","100.01","",""
"01/01/2025 17:00:00 - 01/01/2025 18:00:00","BZN|SI","Without sequence","109.62","",""
"01/01/2025 18:00:00 - 01/01/2025 19:00:00","BZN|SI","Without sequence","118.92","",""
"01/01/2025 19:00:00 - 01/01/2025 20:00:00","BZN|SI","Without sequence","123.5","",""
"01/01/2025 20:00:00 - 01/01/2025 21:00:00","BZN|SI","Without sequence","123.08","",""
"01/01/2025 21:00:00 - 01/01/2025 22:00:00","BZN|SI","Without sequence","113.59","",""
"01/01/2025 22:00:00 - 01/01/2025 23:00:00","BZN|SI","Without sequence","124.62","",""
"01/01/2025 23:00:00 - 02/01/2025 00:00:00","BZN|SI","Without sequence","90.99","",""
"02/01/2025 00:00:00 - 02/01/2025 01:00:00","BZN|SI","Without sequence","68.35","",""
"02/01/2025 01:00:00 - 02/01/2025 02:00:00","BZN|SI","Without sequence","84.57","",""
"02/01/2025 02:00:00 - 02/01/2025 03:00:00","BZN|SI","Without sequence","81.39","",""
"02/01/2025 03:00:00 - 02/01/2025 04:00:00","BZN|SI","Without sequence","50.73","",""
"02/01/2025 04:00:00 - 02/01/2025 05:00:00","BZN|SI","Without sequence","59.02","",""
"02/01/2025 05:00:00 - 02/01/2025 06:00:00","BZN|SI","Without sequence","79.36","",""
"02/01/2025 06:00:00 - 02/01/2025 07:00:00","BZN|SI","Without sequence","107.9","",""
"02/01/2025 07:00:00 - 02/01/2025 08:00:00","BZN|SI","Without sequence","128.31","",""
"02/01/2025 08:00:00 - 02/01/2025 09:00:00","BZN|SI","Without sequence","130.44","",""
"02/01/2025 09:00:00 - 02/01/2025 10:00:00","BZN|SI","Without sequence","133.32","",""
"02/01/2025 10:00:00 - 02/01/2025 11:00:00","BZN|SI","Without sequence","128.94","",""
"02/01/2025 11:00:00 - 02/01/2025 12:00:00","BZN|SI","Without sequence","124.02","",""
"02/01/2025 12:00:00 - 02/01/2025 13:00:00","BZN|SI","Without sequence","123.55","",""
"02/01/2025 13:00:00 - 02/01/2025 14:00:00","BZN|SI","Without sequence","116.95","",""
"02/01/2025 14:00:00 - 02/01/2025 15:00:00","BZN|SI","Without sequence","125.12","",""
"02/01/2025 15:00:00 - 02/01/2025 16:00:00","BZN|SI","Without sequence","130.11","",""
"02/01/2025 16:00:00 - 02/01/2025 17:00:00","BZN|SI","Without sequence","148.47","",""
"02/01/2025 17:00:00 - 02/01/2025 18:00:00","BZN|SI","Without sequence","159.05","",""
"02/01/2025 18:00:00 - 02/01/2025 19:00:00","BZN|SI","Without sequence","155.36","",""
"02/01/2025 19:00:00 - 02/01/2025 20:00:00","BZN|SI","Without sequence","147.83","",""
"02/01/2025 20:00:00 - 02/01/2025 21:00:00","BZN|SI","Without sequence","130.8","",""
"02/01/2025 21:00:00 - 02/01/2025 22:00:00","BZN|SI","Without sequence","124.87","",""
"02/01/2025 22:00:00 - 02/01/2025 23:00:00","BZN|SI","Without sequence","117.89","",""
"02/01/2025 23:00:00 - 03/01/2025 00:00:00","BZN|SI","Without sequence","105.02","",""
"03/01/2025 00:00:00 - 03/01/2025 01:00:00","BZN|SI","Without sequence","103.88","",""
"03/01/2025 01:00:00 - 03/01/2025 02:00:00","BZN|SI","Without sequence","95.18","",""
"03/01/2025 02:00:00 - 03/01/2025 03:00:00","BZN|SI","Without sequence","89.94","",""
"03/01/2025 03:00:00 - 03/01/2025 04:00:00","BZN|SI","Without sequence","87.72","",""
"03/01/2025 04:00:00 - 03/01/2025 05:00:00","BZN|SI","Without sequence","86.03","",""
"03/01/2025 05:00:00 - 03/01/2025 06:00:00","BZN|SI","Without sequence","92.25","",""
"03/01/2025 06:00:00 - 03/01/2025 07:00:00","BZN|SI","Without sequence","108.78","",""
"03/01/2025 07:00:00 - 03/01/2025 08:00:00","BZN|SI","Without sequence","132.34","",""
"03/01/2025 08:00:00 - 03/01/2025 09:00:00","BZN|SI","Without sequence","135.47","",""
"03/01/2025 09:00:00 - 03/01/2025 10:00:00","BZN|SI","Without sequence","133.66","",""
"03/01/2025 10:00:00 - 03/01/2025 11:00:00","BZN|SI","Without sequence","125.3","",""
"03/01/2025 11:00:00 - 03/01/2025 12:00:00","BZN|SI","Without sequence","113.83","",""
"03/01/2025 12:00:00 - 03/01/2025 13:00:00","BZN|SI","Without sequence","111.47","",""
"03/01/2025 13:00:00 - 03/01/2025 14:00:00","BZN|SI","Without sequence","109.45","",""
"03/01/2025 14:00:00 - 03/01/2025 15:00:00","BZN|SI","Without sequence","114.73","",""
"03/01/2025 15:00:00 - 03/01/2025 16:00:00","BZN|SI","Without sequence","128.22","",""
"03/01/2025 16:00:00 - 03/01/2025 17:00:00","BZN|SI","Without sequence","139.96","",""
"03/01/2025 17:00:00 - 03/01/2025 18:00:00","BZN|SI","Without sequence","141.2","",""
"03/01/2025 18:00:00 - 03/01/2025 19:00:00","BZN|SI","Without sequence","142.46","",""
"03/01/2025 19:00:00 - 03/01/2025 20:00:00","BZN|SI","Without sequence","141.43","",""
"03/01/2025 20:00:00 - 03/01/2025 21:00:00","BZN|SI","Without sequence","135.44","",""
"03/01/2025 21:00:00 - 03/01/2025 22:00:00","BZN|SI","Without sequence","121.05","",""
"03/01/2025 22:00:00 - 03/01/2025 23:00:00","BZN|SI","Without sequence","123.58","",""
"03/01/2025 23:00:00 - 04/01/2025 00:00:00","BZN|SI","Without sequence","120.17","",""
"04/01/2025 00:00:00 - 04/01/2025 01:00:00","BZN|SI","Without sequence","109.06","",""
"04/01/2025 01:00:00 - 04/01/2025 02:00:00","BZN|SI","Without sequence","103.95","",""
"04/01/2025 02:00:00 - 04/01/2025 03:00:00","BZN|SI","Without sequence","101.08","",""
"04/01/2025 03:00:00 - 04/01/2025 04:00:00","BZN|SI","Without sequence","98.89","",""
"04/01/2025 04:00:00 - 04/01/2025 05:00:00","BZN|SI","Without sequence","99.93","",""
"04/01/2025 05:00:00 - 04/01/2025 06:00:00","BZN|SI","Without sequence","105.16","",""
"04/01/2025 06:00:00 - 04/01/2025 07:00:00","BZN|SI","Without sequence","112.05","",""
"04/01/2025 07:00:00 - 04/01/2025 08:00:00","BZN|SI","Without sequence","123.24","",""
"04/01/2025 08:00:00 - 04/01/2025 09:00:00","BZN|SI","Without sequence","128.39","",""
"04/01/2025 09:00:00 - 04/01/2025 10:00:00","BZN|SI","Without sequence","130.75","",""
"04/01/2025 10:00:00 - 04/01/2025 11:00:00","BZN|SI","Without sequence","130.34","",""
"04/01/2025 11:00:00 - 04/01/2025 12:00:00","BZN|SI","Without sequence","128.29","",""
"04/01/2025 12:00:00 - 04/01/2025 13:00:00","BZN|SI","Without sequence","130.03","",""
"04/01/2025 13:00:00 - 04/01/2025 14:00:00","BZN|SI","Without sequence","129.85","",""
"04/01/2025 14:00:00 - 04/01/2025 15:00:00","BZN|SI","Without sequence","136.4","",""
"04/01/2025 15:00:00 - 04/01/2025 16:00:00","BZN|SI","Without sequence","140.6","",""
"04/01/2025 16:00:00 - 04/01/2025 17:00:00","BZN|SI","Without sequence","157.23","",""
"04/01/2025 17:00:00 - 04/01/2025 18:00:00","BZN|SI","Without sequence","163.03","",""
"04/01/2025 18:00:00 - 04/01/2025 19:00:00","BZN|SI","Without sequence","160.75","",""
"04/01/2025 19:00:00 - 04/01/2025 20:00:00","BZN|SI","Without sequence","157.49","",""
"04/01/2025 20:00:00 - 04/01/2025 21:00:00","BZN|SI","Without sequence","140.52","",""
"04/01/2025 21:00:00 - 04/01/2025 22:00:00","BZN|SI","Without sequence","133.78","",""
"04/01/2025 22:00:00 - 04/01/2025 23:00:00","BZN|SI","Without sequence","128.64","",""
"04/01/2025 23:00:00 - 05/01/2025 00:00:00","BZN|SI","Without sequence","113.99","",""
"05/01/2025 00:00:00 - 05/01/2025 01:00:00","BZN|SI","Without sequence","111.95","",""
"05/01/2025 01:00:00 - 05/01/2025 02:00:00","BZN|SI","Without sequence","98.69","",""
"05/01/2025 02:00:00 - 05/01/2025 03:00:00","BZN|SI","Without sequence","96.2","",""
"05/01/2025 03:00:00 - 05/01/2025 04:00:00","BZN|SI","Without sequence","94.17","",""
"05/01/2025 04:00:00 - 05/01/2025 05:00:00","BZN|SI","Without sequence","94.17","",""
"05/01/2025 05:00:00 - 05/01/2025 06:00:00","BZN|SI","Without sequence","91.31","",""
"05/01/2025 06:00:00 - 05/01/2025 07:00:00","BZN|SI","Without sequence","92.89","",""
"05/01/2025 07:00:00 - 05/01/2025 08:00:00","BZN|SI","Without sequence","97.92","",""
"05/01/2025 08:00:00 - 05/01/2025 09:00:00","BZN|SI","Without sequence","98.95","",""
"05/01/2025 09:00:00 - 05/01/2025 10:00:00","BZN|SI","Without sequence","100.42","",""
"05/01/2025 10:00:00 - 05/01/2025 11:00:00","BZN|SI","Without sequence","97.21","",""
"05/01/2025 11:00:00 - 05/01/2025 12:00:00","BZN|SI","Without sequence","102.49","",""
"05/01/2025 12:00:00 - 05/01/2025 13:00:00","BZN|SI","Without sequence","100.2","",""
"05/01/2025 13:00:00 - 05/01/2025 14:00:00","BZN|SI","Without sequence","106.31","",""
"05/01/2025 14:00:00 - 05/01/2025 15:00:00","BZN|SI","Without sequence","113.81","",""
"05/01/2025 15:00:00 - 05/01/2025 16:00:00","BZN|SI","Without sequence","118.36","",""
"05/01/2025 16:00:00 - 05/01/2025 17:00:00","BZN|SI","Without sequence","134.47","",""
"05/01/2025 17:00:00 - 05/01/2025 18:00:00","BZN|SI","Without sequence","136.78","",""
"05/01/2025 18:00:00 - 05/01/2025 19:00:00","BZN|SI","Without sequence","133.39","",""
"05/01/2025 19:00:00 - 05/01/2025 20:00:00","BZN|SI","Without sequence","141.43","",""
"05/01/2025 20:00:00 - 05/01/2025 21:00:00","BZN|SI","Without sequence","132.03","",""
"05/01/2025 21:00:00 - 05/01/2025 22:00:00","BZN|SI","Without sequence","126.36","",""
"05/01/2025 22:00:00 - 05/01/2025 23:00:00","BZN|SI","Without sequence","99.98","",""
"05/01/2025 23:00:00 - 06/01/2025 00:00:00","BZN|SI","Without sequence","71.2","",""
"06/01/2025 00:00:00 - 06/01/2025 01:00:00","BZN|SI","Without sequence","107.63","",""
"06/01/2025 01:00:00 - 06/01/2025 02:00:00","BZN|SI","Without sequence","88.92","",""
